n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,198,75.4381,99,173.25,198,198,396
2000,164.094,73.8431,99,99,149,198,298
3000,188.75,58.2193,99,198,198,198,297
4000,222.906,66.4711,99,198,198,297,298
5000,222.75,66.5301,99,198,198,297,297
6000,213.562,76.0021,99,198,198,297,298
7000,198.094,83.5153,99,99,198,198.25,397
8000,176.438,65.2884,99,99,198,198,298
9000,253.781,79.3635,99,198,297,297,397
10000,216.688,85.1274,99,173.25,198,297,396
11000,238.312,70.5771,99,198,198.5,297,397
12000,201.219,64.1273,99,198,198,199,298
13000,176.438,65.2884,99,99,198,198,297
14000,204.344,70.8773,99,198,198,297,298
15000,213.594,62.2253,99,198,198,297,298
16000,201.156,73.2865,99,173.25,198,297,298
17000,204.375,61.3071,99,198,198,199,298
18000,260.094,93.369,99,198,297,297.25,496
19000,328.094,63.7239,198,297,298,396,396
20000,191.906,75.1842,99,99,198,223.5,297
21000,225.938,62.7442,99,198,198,297,298
22000,210.5,74.491,99,198,198,297,396
23000,346.75,128.32,99,297,297.5,396.25,693
24000,207.312,63.4083,99,198,198,223.5,297
25000,250.75,56.1611,99,198,297,297,298
26000,210.5,60.3784,99,198,198,223.5,298
27000,250.719,83.3366,99,198,297,297,495
28000,235.312,74.4162,99,198,199,297,396
29000,250.812,75.3856,99,198,248,297,396
30000,244.562,61.5498,99,198,199,297,396
31000,253.812,55.8624,99,198,297,297,298
32000,229.062,63.7894,99,198,198,297,396
33000,244.562,56.122,99,198,248,297,298
34000,235.188,65.344,99,198,198,297,396
35000,284.812,82.4768,99,198.75,297,298,397
36000,256.969,60.8931,198,198,297,297,396
37000,241.344,61.3028,99,198,247.5,297,298
38000,250.719,61.561,99,198,297,297,396
39000,225.875,57.5711,99,198,198,297,298
40000,225.906,67.6086,99,198,198,297,396
41000,263.094,64.7653,99,198,297,297,397
42000,278.625,77.2561,198,198,297,298,397
43000,219.781,60.2236,99,198,198,297,298
44000,222.906,56.272,99,198,198,223.5,396
45000,278.5,58.6576,198,198,297,297,396
46000,222.906,56.2152,99,198,198,223.5,396
47000,247.719,66.6992,99,198,297,297,397
48000,321.938,83.573,198,297,297,396,496
49000,297.156,61.596,198,297,297,297,397
50000,225.969,67.6769,99,198,198,297,396
51000,269.25,57.5786,198,198,297,297,397
52000,241.406,70.8769,99,198,198,297,396
53000,281.688,75.8868,99,272.5,297,298,396
54000,226,62.8177,99,198,198,223.5,396
55000,225.906,80.5423,99,198,198,297,397
56000,266.219,88.6311,198,198,248,297,594
57000,256.938,79.0406,99,198,297,297,397
58000,235.312,54.8496,99,198,198.5,297,298
59000,266.188,73.1417,99,198,297,297,397
60000,256.844,86.553,99,198,248,297,495
61000,232.062,64.6798,99,198,198,297,396
62000,671.75,2409.54,99,198,198.5,297,13867
63000,235.281,74.4321,99,198,198.5,297,397
64000,247.5,61.5949,99,198,247.5,297,396
65000,241.406,66.3626,99,198,198,297,397
66000,334.219,130.103,99,297,297,396,594
67000,244.531,71.1504,99,198,198,297,397
68000,294.031,64.0401,198,297,297,297.25,397
69000,303.344,83.1899,99,297,297,298,495
70000,241.344,61.3028,99,198,198,297,396
71000,238.219,65.8585,99,198,198,297,396
72000,315.688,68.5902,198,297,297,396,495
73000,656.188,2158.76,100,198.75,297,297,12481
74000,640.719,2197.58,198,198,248,297,12679
75000,244.594,61.5257,99,198,199,297,396
76000,263.094,89.4497,99,198,198.5,297,496
77000,263.156,73.7433,99,198,297,297,396
78000,275.5,54.7793,198,198.75,297,297,397
79000,259.969,74.4747,99,198,297,297,397
80000,253.781,83.2136,99,198,198,297.25,396
81000,358.969,86.2754,198,297,396,396,594
82000,250.75,75.388,99,198,198.5,297,396
83000,260.062,70.0161,99,198,297,297,396
84000,312.656,83.7787,198,272.5,297,396,495
85000,256.781,65.8585,198,198,247.5,297,396
86000,228.969,52.9525,99,198,198,297,297
87000,244.594,79.5053,99,198,198.5,297,397
88000,247.656,75.5025,99,198,199,297,397
89000,244.5,66.485,198,198,198,297,397
90000,269.312,57.5547,198,198,297,297,397
91000,229.062,68.6134,99,198,198,297,397
92000,303.375,90.47,198,272.25,297,298,594
93000,309.469,60.2789,198,297,297,322.5,397
94000,309.594,102.95,99,297,297,298,693
95000,291,75.1927,198,199,297,297.25,495
96000,343.531,94.0062,198,297,297,396,594
97000,253.781,70.9051,99,198,297,297,397
98000,278.656,73.1448,99,198,297,298,397
99000,309.531,96.489,99,297,297,396,594
100000,275.531,65.1742,198,199,297,297,397
