n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,260.219,103.137,99,198,198.5,298,496
2000,238.406,97.0177,99,198,198,297,595
3000,352.969,144.404,99,297,298,421.5,793
4000,300.5,114.08,99,198,297,397,496
5000,300.594,95.853,99,199,297,397,496
6000,316.094,111.032,99,199,396,397,496
7000,377.906,127.073,198,297,396,496,595
8000,356.156,120.384,99,297,347,495,594
9000,399.75,119.488,198,297.75,446,496,595
10000,334.531,102.982,99,297,347,397,496
11000,294.25,102.138,198,198,297,397,495
12000,269.562,113.274,99,198,248,298,496
13000,269.5,107.53,0,198,297,298,496
14000,278.812,95.6898,99,198,297,396,397
15000,257.219,90.3762,99,198,199,298,397
16000,282,97.8877,99,198,297,396,397
17000,263.312,81.8986,99,198,248,298,397
18000,281.969,87.7314,99,198,297,396,397
19000,244.594,97.4775,99,198,198,297.25,397
20000,244.656,90.6911,99,198,199,297,397
21000,257.125,90.2269,99,198,248,297.25,397
22000,303.594,117.892,99,198,297.5,397,594
23000,318.969,114.749,198,198,297.5,397,694
24000,254.062,87.0387,99,198,199,298,397
25000,328.469,95.5375,198,297,298,397,496
26000,272.688,87.2381,99,198,297,322.5,397
27000,312.938,97.8326,198,199,297,397,496
28000,297.438,97.6861,198,198,297.5,396.25,496
29000,241.656,70.9905,99,198,199,297,397
30000,365.438,134.281,99,297,396,495,694
31000,294.344,102.298,99,198,297,298,496
32000,350.031,118.136,198,272.5,347,421.5,595
33000,288.188,95.4032,99,198,297,396,397
34000,343.875,100.757,99,297,347,397,496
35000,325.281,76.5436,198,297,298,396,496
36000,402.844,103.696,198,297.75,397,496,595
37000,269.469,94.9679,99,198,248,298,496
38000,322.281,97.4488,198,199,298,397,496
39000,315.906,95.6794,198,198.75,298,396,496
40000,294.312,81.5568,198,199,297,322.5,496
41000,294.375,99.1921,99,198,297,397,496
42000,278.812,85.1282,99,198,297,298,397
43000,399.656,116.76,99,298,397,496,594
44000,272.688,90.7899,198,198,248,298,496
45000,291.25,123.053,99,198,297,396,595
46000,365.5,136.7,198,198,396,421.5,793
47000,266.438,102.1,99,198,199,298,496
48000,288.125,118.992,99,198.75,297,396,496
49000,446.188,90.7721,199,397,495,496,694
50000,340.656,112.486,198,297,297.5,397,595
51000,325.281,94.8419,198,272.5,298,396,496
52000,272.438,97.4073,99,198,297,322.5,495
53000,260.094,74.4967,198,198,199,297.25,397
54000,294.281,102.171,99,199,297,396,496
55000,266.531,77.28,100,198,297,298,397
56000,371.719,97.678,198,297,396,495.25,496
57000,343.812,100.501,198,297,298,397,595
58000,325.344,107.691,198,198,298,397,496
59000,309.656,93.4119,198,198.75,297,396,496
60000,412.031,94.4961,198,396,397,496,594
61000,377.875,129.459,198,297,347,495.25,694
62000,288.188,81.0708,100,198,297.5,322.5,397
63000,291.125,93.968,99,198,297,396,495
64000,377.969,158.223,198,297,396,397,1091
65000,337.656,115.024,198,199,298,421.5,496
66000,356.188,97.009,198,297,396,397,594
67000,275.719,78.5638,198,198,297,298,397
68000,347,115.318,198,297,298,421.5,595
69000,294.344,92.4936,198,198,297,396,496
70000,297.312,90.7017,198,199,297,396,496
71000,312.844,91.2268,198,272.5,297,396,496
72000,288.062,76.9323,198,199,297,322.5,397
73000,325.188,80.5619,198,297,298,396.25,495
74000,362.438,89.264,198,297,347,397,496
75000,411.875,107.159,198,371.5,397,495.25,595
76000,284.906,102.95,99,198,297,298,496
77000,303.594,75.1428,198,272.5,298,396,397
78000,452.156,97.4365,198,396,495,496,694
79000,399.594,127.082,198,297,396,495.25,694
80000,334.5,125.216,100,297,297.5,397,793
81000,365.5,122.037,198,297,396,421.75,595
82000,294.25,102.107,198,199,297,322.5,496
83000,291.125,97.2744,99,198.75,297,298,496
84000,319.156,74.4256,198,297,298,396,496
85000,387.25,143.17,198,297,396,495,793
86000,526.625,269.394,99,298,495.5,694,1388
87000,297.375,97.5225,198,198.75,297,298,496
88000,412,109.964,198,371.25,397,496,595
89000,285.125,89.9329,198,199,297,298,496
90000,319.188,109.084,99,198.75,298,396.25,496
91000,312.844,76.154,198,297,297,322.5,496
92000,365.562,116.593,198,297,347,397,595
93000,287.938,88.5361,99,198,297,322.5,496
94000,387.25,124.279,198,297,396,496,595
95000,331.562,108.57,198,272.5,298,397,594
96000,644.25,157.22,397,495.75,644.5,793,892
97000,461.656,102.563,297,396,495.5,520.5,595
98000,390.469,112.404,198,297.75,396.5,496,595
99000,272.625,71.2151,198,198.75,297,298,496
100000,343.812,106.877,198,297,298,397,595
