n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,2034.56,1177.74,198,1139.5,2180.5,2775,4658
2000,3787.16,3032.52,198,1510.75,3616.5,5846.25,15359
3000,4477.69,3027.86,99,1560.25,4409.5,7357.75,9909
4000,10485.3,6257.98,396,5723,10652.5,14021.5,30818
5000,8831.84,11021.4,694,2824.25,7531,10751.8,64907
6000,11200.7,7004.67,1189,4484.25,10603.5,15607.5,26855
7000,11429.9,6242.84,397,7257.75,10256,15830.2,26557
8000,11742.6,5422.56,1783,8844.5,11296.5,15186,22692
9000,12792.3,8196.03,297,6094.25,12089.5,18382,27944
10000,18245.7,9749.28,793,12684,20165.5,26086.5,38944
11000,16366.1,10549.9,2081,7431.75,15656.5,23559.5,41421
12000,17849.3,11567,396,8150,17837,26234.2,37755
13000,17155.6,10223.3,694,9117,16251,23212.8,36070
14000,23754.5,11409.5,693,16648,23683,30521,46276
15000,26504.6,11275.7,7035,17540.2,30075,36169.2,43403
16000,25981.1,14949.3,3072,15458.2,25120.5,37482.2,53412
17000,25405.2,15638.4,396,15335,23832.5,35253,55790
18000,35391.9,17809.7,1586,20957.8,39340.5,47242.8,64807
19000,28830.2,19052.6,1388,19076,25517,41594.8,87897
20000,26817.2,15105.3,1090,16176.5,24426.5,37630.8,55889
21000,33735.2,18850.8,4063,17762,34138,49547,71843
22000,35800.7,15835.6,4954,22147.5,34633.5,47787.5,62032
23000,35528.1,19271.4,991,21899.8,34385,47763.2,68573
24000,41124,23622.1,4162,18034.8,48407.5,61908.5,76996
25000,39095.6,22148.3,4756,23138.2,36467,56211,89680
26000,38757.9,25307.7,2378,13947.5,36119.5,58168.2,79473
27000,38553.6,23184.9,2081,23212.8,38597,53163.5,80266
28000,40628.4,23555.5,1387,20165,37408,57598.5,79176
29000,36897,23891,595,14269.8,38547.5,53485.5,92454
30000,39727.4,24690.4,1289,24154,36070.5,50711.5,98797
31000,41576.1,26391.1,3667,16004.2,44493.5,59877.5,105534
32000,52993.5,30045.3,3171,29654,52123,80018.5,105139
33000,41337.5,26506.6,3567,16102.5,36912.5,59258.2,101076
34000,59725.7,30456.2,4261,37854.2,69959.5,76772.5,107220
35000,52095.4,30284.5,1585,29604.2,49794.5,80117.5,104048
36000,48305.1,32835.4,495,18407,45930,69910,139623
37000,45255,30189.5,1982,18902.8,43006.5,69340.2,98797
38000,50788.6,30749.8,5945,26830.2,52767,68523.5,112669
39000,54579,37142.7,3964,12832.5,56236,84329,114354
40000,59205.4,33123.3,2676,30793.2,61488,89580.8,112769
41000,51426.6,39219.3,991,14666.2,42214,83362.8,118912
42000,61453.6,34475.9,3964,34807,61438,90546.8,115642
43000,55789.9,36234.8,793,27572.8,49745,84997.8,124660
44000,66259.6,36917.7,1783,40528.8,62379.5,97830.2,121390
45000,73908.4,39320.6,3766,41916.8,74865,103851,139326
46000,76534.4,41510.5,3964,43997.8,83437,115444,147452
47000,80052.3,40774.4,7333,41569.8,93049,102363,139524
48000,61165.6,47926.3,892,15260.5,52668,111976,141506
49000,60246,42035.7,595,21800.8,57276,92751.2,145074
50000,71356.8,50005,297,29505.5,68820.5,93916.2,195215
51000,81136.1,44980.6,7630,43625.5,73279.5,123892,151316
52000,98725.2,40221.4,28439,66715.2,104693,130160,175595
53000,87896.3,54764.5,6739,48010.5,84180.5,134074,183027
54000,77534.7,44937.8,8918,44667,64361,123619,162514
55000,93151.4,46982.9,991,55616.8,108112,128128,159641
56000,85468.2,50160.1,3766,53733,81604,120052,190458
57000,84099.6,49018,5352,36342.8,83833.5,131299,153694
58000,59165.2,50194.2,6540,22346,38795,87698,177081
59000,86360.3,43201.4,3369,59802.8,84923.5,116559,167765
60000,84143,55310.1,199,44097,82891.5,122381,174306
61000,80730.6,57420.3,9612,31239.2,68721.5,134123,186197
62000,94702.7,57974.4,2279,51157.5,98301,152802,177576
63000,81551.1,56614.4,1684,25368,71546,140936,176387
64000,98078.2,60734.2,4955,57969.5,88194,143042,240600
65000,94839,58954,397,52892,88193.5,143959,190260
66000,91575,60790.2,5450,44939,94981.5,135586,206016
67000,93841.8,61843.1,2081,36367.5,85171,151018,212259
68000,104039,63657,8324,36714.5,118368,150771,207700
69000,88410.2,65416.1,3072,35699,71992,147649,232077
70000,98202,66847.2,13377,37036.2,82247.5,155032,267355
71000,104432,61461.7,495,48754.5,103553,155082,206610
72000,93036.5,61399.8,8125,41767.8,86013,134792,221078
73000,106479,62247.3,6838,62999.2,98598.5,159120,222564
74000,113481,59608.3,11296,68374.8,118070,164496,211268
75000,123877,54834.6,298,78383.2,119558,169772,211565
76000,118594,64674.5,396,80043,124561,165760,226429
77000,106510,58493.8,8125,54724.8,103801,142299,215232
78000,115156,66382.1,6541,68894.8,116980,174108,235249
79000,96303.8,75440.5,6838,32577.8,68672.5,148641,270031
80000,113469,68106.1,6044,48952.5,133232,166800,228114
81000,122790,89808.3,297,30942.8,124660,210005,274093
82000,134350,65678.4,14765,85244.8,150376,194620,218106
83000,125186,74888.4,9413,62082,122480,186791,256256
84000,118327,67226.2,6044,70530.2,112918,163802,235150
85000,127271,66195.9,11792,86831.2,125056,164620,256356
86000,120925,75609.2,2180,52867.2,120845,186173,250608
87000,143373,67275,24080,101522,132042,202152,264184
88000,160879,70743.3,22296,100580,173662,223332,257941
89000,137013,79873.8,7829,64089.2,153892,195933,267652
90000,137149,80103.1,3072,85840,127188,209113,274589
91000,142229,81161.3,11990,87917.8,127524,210665,275382
92000,102275,85445.1,298,19171.5,92986,170838,272765
93000,141290,83456.4,4954,70172.8,151988,195880,295652
94000,162069,97208.4,991,78347.2,175618,256071,290897
95000,134448,82083.9,4855,49439.8,148025,190282,276728
96000,138306,88437.6,1784,62593.5,126673,230880,278314
97000,154613,87301.4,4459,101309,163530,217231,306948
98000,153941,83718.9,2080,85703.5,149610,214780,293374
99000,137556,91332.7,3072,66506.8,127218,205144,306056
100000,155003,85418.5,4261,83945,156694,234298,321611
