n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,236.562,78.9973,99,199,199.5,299,399
1000,239.656,128.781,99,100,248.5,299,597
2000,158.812,106.852,99,100,100,199,597
3000,199.188,247.858,99,100,100,199.25,1494
4000,152.344,149.555,99,99,100,100,896
5000,152.562,147.584,99,99,100,124.75,897
6000,183.812,156.107,99,100,100,200,797
7000,220.969,197.091,99,100,199,298.25,1195
8000,171.094,119.285,99,99,100,223.75,598
9000,326.719,532.498,99,100,199,299,3087
10000,164.906,125.649,99,99,100,199,698
11000,217.75,137.25,99,100,199,298,797
12000,186.688,118.043,99,99,100,299,498
13000,208.531,143.854,99,100,199,200,797
14000,189.844,95.8039,99,100,199,299,398
15000,224.031,213.207,99,100,199,298.25,1295
16000,183.625,246.725,99,99,100,199,1494
17000,239.75,227.447,99,100,199,299,1394
18000,242.875,211.586,99,100,199.5,299,1295
19000,264.406,239.485,99,199,200,299,1494
20000,180.406,212.403,99,99,100,199,1295
21000,133.75,152.969,0,99,100,100,896
22000,180.469,102.677,99,100,199,199,598
23000,220.969,123.232,99,100,200,299,597
24000,133.906,114.812,0,99,100,100,697
25000,199.188,252.985,99,99.75,100,199,1494
26000,137.031,86.5353,99,100,100,100,497
27000,224.031,203.927,99,100,199,299,1195
28000,161.812,128.46,99,99,100,199,797
29000,214.656,104.66,99,100,199,298,598
30000,158.719,149.267,0,99.75,100,199,896
31000,146.25,107.249,0,99,100,199,597
32000,196.031,142.051,99,99.75,149.5,298.25,797
33000,164.906,106.137,99,99,100,199,597
34000,189.719,99.0696,99,99.75,199,298,497
35000,214.719,113.465,99,174.25,199,298.25,697
36000,189.906,232.254,99,100,100,199,1394
37000,193.031,145.012,0,100,199,298.25,796
38000,155.594,197.43,99,99,100,100,1195
39000,152.594,90.9998,99,100,100,199,497
40000,171.156,145.869,0,99,100,199.25,697
41000,242.688,128.783,99,100,298,299,697
42000,221.062,128.219,99,100,199,299,597
43000,143.219,167.684,0,99,100,124.75,996
44000,158.625,147.108,99,99,100,199,896
45000,161.75,165.376,99,99,100,199,996
46000,146.312,80.0369,0,99,100,199,399
47000,149.438,131.494,99,99,100,124.75,797
48000,221,109.504,99,100,199,299,498
49000,267.781,139.542,99,174.25,299,299,797
50000,286.375,321.757,99,199,200,299,1992
51000,177.25,182.039,99,99,100,199,1096
52000,158.531,133.563,99,99,100,199,797
53000,165.031,146.694,0,99,100,199,697
54000,155.625,133.564,99,99.75,100,199,796
55000,152.562,104.297,99,99.75,100,199,598
56000,143.094,100.995,0,99,100,199,498
57000,242.625,203.844,99,100,199,299,1195
58000,245.875,216.044,99,100,149.5,299,996
59000,277,306.413,99,100,199,299,1693
60000,168.156,150.503,99,100,100,199,896
61000,177.375,106.446,99,100,149.5,200,597
62000,164.844,264.947,0,99,100,124.75,1594
63000,180.5,164.853,99,99,100,199,996
64000,445.125,1582.61,0,100,100,199,9062
65000,127.656,84.7656,0,99,100,124.75,498
66000,158.625,217.291,0,99,100,100,1294
67000,155.719,118.387,99,100,100,199,697
68000,248.844,437.346,99,99.75,100,298,2589
69000,149.25,196.142,99,99,99.5,100,1196
70000,217.75,215.196,99,99.75,199,298,1294
71000,249,219.15,99,100,199,299,1295
72000,193,121.291,99,100,199,200,598
73000,127.594,124.391,99,99,100,100,796
74000,211.656,151.114,99,100,199,298,896
75000,221.125,117.96,99,100,199,299,498
76000,183.656,118.958,99,100,100,199,598
77000,196.094,172.454,99,100,149.5,199,996
78000,258.375,165.608,99,199,249,299,996
79000,158.656,151.523,99,99,100,124.75,896
80000,220.969,193.74,99,100,149.5,299,1095
81000,152.531,143.113,0,99,100,199,797
82000,186.688,167.387,99,99,100,200,996
83000,155.594,178.682,99,99,100,124.75,1095
84000,158.594,94.0096,99,99,100,199,497
85000,149.469,129.006,99,99.75,100,199,797
86000,161.781,125.889,0,99,100,199.25,697
87000,155.562,87.3329,0,99,100,199.25,299
88000,161.938,123.27,99,100,100,199,697
89000,261.375,228.849,99,100,248.5,299,1395
90000,205.281,138.535,0,99,199,299,698
91000,158.656,128.682,99,99,100,199,797
92000,143.219,87.335,99,100,100,199,498
93000,218.031,158.87,99,100,199,299,897
94000,258.281,194.038,99,199,200,299,1195
95000,267.562,154.752,99,100,298,299,697
96000,186.781,112.342,0,100,100,299,498
97000,186.781,198.791,99,99.75,100,199.25,1195
98000,152.594,97.8326,0,100,100,199,497
99000,224.219,160.027,0,100,199,299,797
100000,211.562,135.476,99,100,199,223.75,697
