n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,78.3438,75.3057,0,0,100,100.25,301
1000,159.781,113.543,0,100,100,201,401
2000,166.094,213.967,0,100,100.5,200,1203
3000,191.031,123.084,100,100,101,301,601
4000,156.656,119.15,0,100,101,300,401
5000,306.938,215.922,100,101,300.5,401,902
6000,191.031,114.784,100,100,150.5,225.75,501
7000,266.188,151.767,100,100.75,300,401,701
8000,184.719,114.207,0,100,150.5,301,501
9000,306.969,253.255,100,100,201,401,1303
10000,247.5,174.469,100,100,201,401,802
11000,288.094,145.722,100,200,201,401,602
12000,247.375,185.368,100,100,200.5,300.25,802
13000,322.625,201.53,100,175.25,401,401,1102
14000,300.688,164.925,100,175.25,301,401,602
15000,247.5,172.554,100,200,200.5,201,1002
16000,194.094,273.042,100,100,100,200,1604
17000,425.938,187.093,101,301,401,501,1203
18000,231.719,155.814,100,100,200,301,902
19000,610.688,2105.59,100,200,201,325.75,12127
20000,206.656,205.207,100,100,101,225.75,1203
21000,394.594,249.302,100,200.75,401,501,1503
22000,322.812,186.633,100,201,201,426,1003
23000,310.031,205.835,100,200,201,401,1203
24000,228.656,353.022,100,100,150.5,201,2105
25000,238.094,247.75,100,100,101,301,1403
26000,219.312,165.849,100,100,101,400.25,802
27000,200.5,221.943,100,100,101,201,1303
28000,175.344,129.858,100,100,100,225,501
29000,235,164.3,100,100,200,326,803
30000,281.906,147.226,100,101,301,401,501
31000,197.438,164.122,100,100,100,226,802
32000,163,101.156,0,100,101,300.25,402
33000,275.688,302.277,100,101,200.5,326,1804
34000,407.312,262.097,200,201,351,501,1504
35000,328.969,174.982,100,200.75,301,501,902
36000,247.469,152.814,100,175.25,200,326,802
37000,300.906,203.788,100,100.75,201,401.25,1002
38000,269.406,279.428,100,100,200,401,1604
39000,209.844,159.729,100,100,200,201,902
40000,325.75,194.058,100,200,201,426.75,1003
41000,235,186.498,100,100,200,326,1003
42000,335.219,194.964,100,200,201,501,802
43000,288.312,177.624,100,200,201,401,902
44000,426.281,495.105,100,201,401,502,3008
45000,272.562,167.403,100,101,201,401,802
46000,332.094,206.044,100,200,301,501,1103
47000,244.375,200.388,100,175.25,201,225.75,1203
48000,238.125,141.206,100,101,200.5,401,702
49000,338.375,156.423,101,200,401,426,701
50000,225.562,203.748,100,100,101,401,1103
51000,1478.81,4416.9,100,201,401,501,18749
52000,310.094,213.57,100,100.75,300.5,401.25,1102
53000,288.312,204.85,100,100.75,201,401,1002
54000,244.344,389.488,100,100,101,225.75,2306
55000,347.688,156.891,100,201,401,401,902
56000,278.812,147.982,100,175,300,401,702
57000,285.188,167.256,100,100.75,250.5,401,702
58000,241.188,230.339,100,100,200,401,1303
59000,269.469,187.909,100,100.75,201,401.25,902
60000,397.969,262.661,100,201,401,501,1503
61000,313.188,228.732,100,175.25,201,501,1203
62000,354,192.129,100,201,401,501,902
63000,228.75,173.109,100,100,200.5,401,902
64000,256.875,183.524,0,100,200,401,702
65000,786.531,2843.47,100,200,201,426,16342
66000,363.5,255.622,200,201,300.5,426,1504
67000,291.406,167.647,101,200,201,401,903
68000,285.156,309.922,100,200,201,226,1905
69000,1438.16,4296.55,100,201,351,502,19952
70000,241.156,168.716,100,100.75,200,300.25,903
71000,197.438,140.645,100,100,200,201,802
72000,285.156,148.756,100,200,301,401,802
73000,216.25,111.322,100,101,200.5,301,402
74000,231.812,138.242,100,100,201,300.25,702
75000,225.594,211.528,100,100,200,201,1002
76000,228.688,153.317,100,100,200,301,802
77000,294.531,193.814,100,100.75,300.5,401,1002
78000,281.812,169.747,100,100.75,201,401,602
79000,303.875,163.997,100,175.25,301,401,802
80000,375.969,231.904,100,201,301,501,1103
81000,307,367.269,100,101,201,401,2206
82000,282,228.351,100,101,201,401,1303
83000,213.062,183.212,100,100,200,225.75,1103
84000,388.375,233.122,100,200.75,401,501,1304
85000,366.625,231.377,100,201,251,501,1203
86000,686.219,1842.08,100,200.75,401,501.25,10728
87000,191.125,269.905,100,100,101,200,1604
88000,169,189.674,100,100,100,125.75,1103
89000,225.75,154.837,100,100.75,201,301,802
90000,234.969,198.258,100,100,200,301,1103
91000,219.344,179.052,100,100,200,201,802
92000,366.625,279.608,100,200,301,501,1504
93000,388.406,221.646,100,200,401,501,1002
94000,322.688,505.811,100,100.75,201,326,3007
95000,247.469,150.56,100,100,201,401,701
96000,382.281,191.125,100,200.75,401,501,902
97000,344.812,242.779,100,200.75,300.5,501,1203
98000,639.125,1864.71,100,200.75,201,426,10828
99000,213.031,211.11,100,100,101,201,1203
100000,313.375,166.415,100,200.75,300.5,401,802
