n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,75.2188,72.1011,0,0,100,100,301
1000,3225.81,407.14,2811,2912,3012,3540,4117
2000,9712.16,5195.79,6727,7431,8033.5,8535.25,25204
3000,9815.69,1356.93,8635,8636,8787,10946,12652
4000,12037.4,2077.99,11447,11548,11548,11648.2,23196
5000,17770.5,2395.67,14360,16844.8,18025,18953.2,26008
6000,20635.4,4816.82,17171,17372,20284,21740.2,42476
7000,20936.8,3180.29,20083,20183,20184,20184,36853
8000,23670,1895.63,22995,23070.2,23096,23096,32434
9000,27473.3,5864.16,25806,25907,25908,26007.2,57137
10000,31907.1,3709.86,28719,28819,28920,34769,40267
11000,38760.7,9183.21,31631,34216.5,36501.5,38785.8,73304
12000,38085.8,5798.88,34543,35220.8,35748,37882,64367
13000,45673.6,6832.67,37455,40091,46041.5,48124.8,69688
14000,45714.3,8381.54,40266,40443,42526,47697.8,81437
15000,47361.8,7316.79,43178,43254,44082,46392,76416
16000,48215.4,3806.38,45990,46066,46091,48827,57840
17000,54679.7,6673.47,48902,48903,50610,62734.8,65069
18000,57566.7,9434.54,51714,51814,51815,61405,88065
19000,56753.8,6955.57,54626,54626,54627,54727,90876
20000,63980.8,8954.58,57438,57538,60601,69413,98006
21000,71697.1,11051.1,60350,62759.8,66074,76818,99612
22000,67015.1,7740.75,63161,63262,63262,66073.8,97705
23000,67269.4,3393.72,66073,66074,66124,66175,82542
24000,72042.2,5160.39,68985,68986,68986,74433.2,89772
25000,72999.4,2955.86,71797,71798,71898,71898,82642
26000,77383.2,7289.55,74709,74709,74710,74735,107345
27000,104693,16462,77622,87161.8,113269,115353,133452
28000,84195.8,8863.33,80433,80433,80533.5,80860.2,118090
29000,94607.7,9667.65,86458,87362,90224,100818,125420
30000,89323.3,5034.74,86659,86734,86760,90122.8,111763
31000,108170,15369.2,89169,92834,106892,114524,145302
32000,99634.6,11594.7,91880,91981,96148,101320,146205
33000,133183,87693.2,94792,94893,110006,124466,507704
34000,131184,12573.2,106140,122909,132047,135512,165084
35000,186278,290104,118190,125947,135261,141486,1.77486e+06
36000,169446,110304,136566,141587,143344,151276,760853
37000,153985,15576.4,132148,146783,150424,157402,203443
38000,150637,164883,109755,109855,112566,131646,1.04995e+06
39000,125103,15193.5,112666,112667,113872,139202,158155
40000,161133,19966.5,138373,147461,157402,167218,213284
41000,137771,16966.4,118591,124340,134406,146708,184565
42000,133751,14693.4,123010,124390,125721,137370,174323
43000,149862,15579.6,126926,138524,151628,155595,183762
44000,136080,16122.6,126323,126424,126575,137771,188883
45000,135665,20104.2,129235,129236,130039,130114,233970
46000,172907,21575.3,133654,157202,170858,185770,220414
47000,151142,11580.6,140080,140382,148064,159662,177937
48000,144295,7078.2,139478,139553,139579,148641,169603
49000,145873,6868.47,140682,140784,142440,148163,170306
50000,158529,12757.9,145905,147010,154540,168172,196414
51000,153200,10470.1,146507,148214,148214,156147,194707
52000,157544,9153.57,150222,151126,152784,160515,181352
53000,171548,20019.4,156047,157954,164782,175904,244814
54000,175041,22699.5,155043,156047,169402,185444,247023
55000,162003,5829.61,157854,157954,157955,166841,178339
56000,175119,15539.1,162774,162775,169804,180498,213183
57000,188148,20879.3,163678,171385,179243,205852,233367
58000,218085,35140.8,168499,192799,216246,236128,337699
59000,178668,16864.7,169401,169502,171510,179820,248530
60000,187012,15012.4,173318,173393,181452,196012,223426
61000,222390,20534.9,181452,210246,222773,232464,274236
62000,201588,24138.5,178038,181603,193150,214514,255458
63000,187329,7183.91,181954,182054,182255,190866,204146
64000,226523,57396.8,183761,183837,191694,279533,364008
65000,194795,11495.9,186573,186673,188280,196590,225735
66000,198651,11588.6,189485,189486,194506,204296,231459
67000,202715,16061.7,192297,192699,196564,203945,255257
68000,219001,21288.1,198623,200958,213534,225735,272228
69000,205800,15184,198120,198121,198422,207986,273433
70000,219378,24529.7,204246,204498,204999,223301,310687
71000,222456,23550.9,203844,203920,211426,237057,280361
72000,228676,23983,206958,209267,215593,244739,283877
73000,216877,9181.41,209568,209669,212079,223376,247827
74000,229454,21336.7,212480,212481,218806,238262,284679
75000,230474,19353.3,217903,218004,223426,228722,286286
76000,233019,19566.7,220814,220916,223225,232162,288395
77000,248633,24436,225534,228121,241300,259551,323641
78000,237359,18714.4,225233,225234,226740,245417,306470
79000,246255,31760.8,226739,228748,232363,247149,349549
80000,251705,19511,234873,236280,242806,265174,310085
81000,249490,15304.2,232563,239192,245116,257190,297031
82000,261185,38586.5,238187,239794,246170,257342,377263
83000,254545,20496.1,241099,241199,242104,259275,320830
84000,253946,12924.5,241099,243685,250237,257643,282671
85000,256215,12526.8,244011,246044,252195,262739,286487
86000,263395,25190.7,246923,248404,250136,262663,350853
87000,291232,58324.7,251241,254329,257920,334436,442734
88000,285015,45431.2,255760,261031,268412,285935,442634
89000,266903,11921.3,255459,258672,260580,273132,303156
90000,282536,22295.1,258471,265024,277148,299240,337599
91000,310210,41905.9,264396,276897,300144,328461,423957
92000,306078,41385.1,270722,272880,286738,325523,402066
93000,280384,12731.4,268613,270220,275844,287466,320227
94000,292314,22763.4,273131,274814,282370,303181,349549
95000,295631,18601.1,276044,278002,288696,305215,340410
96000,311381,23879.3,281064,293139,307524,326378,368627
97000,294621,21123.8,278454,281868,285584,302402,372946
98000,305858,26472.2,283073,288570,294872,315281,402869
99000,309504,39278,284378,289148,295223,304361,451370
100000,372377,64356.5,287090,300244,384242,430006,465027
