n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,70818.4,9212.63,65051,65638.8,66177.5,73328.8,103748
2000,159106,16249.4,147245,148005,149108,172669,198972
3000,284410,34450.4,236396,250480,285037,315726,338773
4000,344375,25437.7,328291,329246,337744,342373,428414
5000,444446,31233,422046,423368,431696,446562,528047
6000,552334,37586.7,520112,523442,534316,570908,650507
7000,656357,43295.1,617982,627852,638702,668974,778061
8000,782371,48404.1,720749,747396,771644,817003,873677
9000,884717,49805.7,820285,842842,875539,931184,975564
10000,976311,63875.6,921485,932434,948868,1.01086e+06,1.17914e+06
11000,1.12193e+06,102176,1.02651e+06,1.04583e+06,1.0725e+06,1.18771e+06,1.456e+06
12000,1.22163e+06,98949.1,1.14877e+06,1.1594e+06,1.16978e+06,1.26893e+06,1.53927e+06
13000,1.34047e+06,104045,1.23978e+06,1.26937e+06,1.30665e+06,1.36756e+06,1.60491e+06
14000,1.42683e+06,59967.2,1.34637e+06,1.38022e+06,1.41451e+06,1.46891e+06,1.60932e+06
15000,1.55017e+06,78718.2,1.46129e+06,1.49754e+06,1.52418e+06,1.57052e+06,1.71992e+06
16000,1.6938e+06,118670,1.5572e+06,1.6068e+06,1.63699e+06,1.73758e+06,1.97356e+06
17000,1.80323e+06,124217,1.68309e+06,1.70454e+06,1.73614e+06,1.8827e+06,2.10014e+06
18000,1.91801e+06,104783,1.7981e+06,1.82654e+06,1.89764e+06,1.97275e+06,2.18674e+06
19000,2.04484e+06,121805,1.89519e+06,1.95078e+06,2.00148e+06,2.15348e+06,2.31537e+06
20000,2.24111e+06,175509,2.0342e+06,2.10633e+06,2.19056e+06,2.36166e+06,2.57352e+06
21000,2.36447e+06,188512,2.14628e+06,2.20075e+06,2.31106e+06,2.4718e+06,2.86801e+06
22000,2.42745e+06,142251,2.25483e+06,2.30482e+06,2.38576e+06,2.54555e+06,2.75152e+06
23000,2.49594e+06,130373,2.33428e+06,2.38101e+06,2.48564e+06,2.55672e+06,2.78464e+06
24000,2.65505e+06,138627,2.47408e+06,2.53678e+06,2.63945e+06,2.74597e+06,2.96461e+06
25000,2.79662e+06,170560,2.5648e+06,2.66477e+06,2.74173e+06,2.90492e+06,3.22079e+06
26000,2.85959e+06,110797,2.70058e+06,2.76394e+06,2.87482e+06,2.91665e+06,3.14447e+06
27000,3.09628e+06,471589,2.80002e+06,2.91403e+06,3.02201e+06,3.08729e+06,5.54586e+06
28000,3.18684e+06,285611,2.96274e+06,3.01704e+06,3.10323e+06,3.21631e+06,4.33282e+06
29000,3.22379e+06,120385,3.07805e+06,3.14136e+06,3.19694e+06,3.27766e+06,3.60512e+06
30000,3.35672e+06,117120,3.20208e+06,3.24918e+06,3.3431e+06,3.42603e+06,3.69809e+06
31000,3.44653e+06,84628.2,3.3118e+06,3.36804e+06,3.46125e+06,3.51626e+06,3.5868e+06
32000,3.58087e+06,103086,3.41173e+06,3.48758e+06,3.58254e+06,3.64031e+06,3.86895e+06
33000,3.71684e+06,112101,3.56613e+06,3.6251e+06,3.6879e+06,3.78462e+06,4.00071e+06
34000,3.87678e+06,117325,3.65557e+06,3.77926e+06,3.87531e+06,3.96868e+06,4.12788e+06
35000,3.97983e+06,113066,3.75129e+06,3.90404e+06,3.98127e+06,4.03253e+06,4.29697e+06
36000,4.10452e+06,116531,3.95526e+06,4.02185e+06,4.0834e+06,4.13593e+06,4.39523e+06
37000,4.21691e+06,116962,4.04656e+06,4.14073e+06,4.21051e+06,4.26709e+06,4.56677e+06
38000,4.27552e+06,80662.7,4.1602e+06,4.21458e+06,4.24877e+06,4.3496e+06,4.41688e+06
39000,4.52272e+06,109657,4.36143e+06,4.44992e+06,4.50035e+06,4.55769e+06,4.84765e+06
40000,4.77988e+06,284627,4.44186e+06,4.62651e+06,4.7075e+06,4.89531e+06,5.72906e+06
41000,4.98295e+06,758600,4.55531e+06,4.70662e+06,4.75516e+06,4.80508e+06,8.55984e+06
42000,4.88797e+06,212816,4.70001e+06,4.79665e+06,4.8308e+06,4.88818e+06,5.87043e+06
43000,4.95629e+06,115295,4.81287e+06,4.89379e+06,4.93836e+06,4.98661e+06,5.34826e+06
44000,5.10343e+06,131400,4.9412e+06,5.04113e+06,5.09395e+06,5.13136e+06,5.5487e+06
45000,5.28807e+06,154120,5.02758e+06,5.19492e+06,5.28005e+06,5.33973e+06,5.92803e+06
46000,5.40661e+06,242384,5.18995e+06,5.27457e+06,5.33608e+06,5.44974e+06,6.35115e+06
47000,5.60938e+06,490886,5.37083e+06,5.45967e+06,5.49606e+06,5.54409e+06,8.10909e+06
48000,5.62708e+06,125857,5.38003e+06,5.56244e+06,5.60049e+06,5.67404e+06,5.94996e+06
49000,5.73844e+06,106742,5.5883e+06,5.68204e+06,5.73037e+06,5.7947e+06,6.19239e+06
50000,5.92928e+06,233923,5.74931e+06,5.7772e+06,5.84356e+06,5.95052e+06,6.73286e+06
51000,6.0169e+06,152699,5.87361e+06,5.93953e+06,5.98343e+06,6.02757e+06,6.65368e+06
52000,6.3006e+06,466707,6.02033e+06,6.10528e+06,6.15344e+06,6.27113e+06,8.59671e+06
53000,6.28295e+06,102310,6.1324e+06,6.21948e+06,6.2496e+06,6.33913e+06,6.6021e+06
54000,6.385e+06,102249,6.24065e+06,6.31053e+06,6.36368e+06,6.42279e+06,6.59613e+06
55000,6.5502e+06,123667,6.36759e+06,6.48306e+06,6.52674e+06,6.57734e+06,6.95073e+06
56000,6.69369e+06,142437,6.49111e+06,6.6113e+06,6.66459e+06,6.72826e+06,7.22831e+06
57000,6.86254e+06,170394,6.64409e+06,6.74444e+06,6.79173e+06,6.92749e+06,7.41535e+06
58000,6.95139e+06,125209,6.75919e+06,6.86651e+06,6.94413e+06,6.9903e+06,7.23858e+06
59000,7.09353e+06,130273,6.95044e+06,7.00616e+06,7.07048e+06,7.11751e+06,7.48905e+06
60000,7.23652e+06,146837,6.9889e+06,7.12319e+06,7.22204e+06,7.35472e+06,7.53182e+06
61000,7.60067e+06,899667,7.05712e+06,7.22119e+06,7.30338e+06,7.48137e+06,1.15482e+07
62000,7.49932e+06,162783,7.27813e+06,7.3533e+06,7.44652e+06,7.6169e+06,7.88378e+06
63000,7.60945e+06,139035,7.33558e+06,7.51937e+06,7.61423e+06,7.69434e+06,7.87898e+06
64000,7.74004e+06,131234,7.47828e+06,7.64656e+06,7.73653e+06,7.81664e+06,8.07327e+06
65000,7.92466e+06,212905,7.63381e+06,7.78348e+06,7.88887e+06,7.99945e+06,8.68108e+06
66000,7.98817e+06,125081,7.80656e+06,7.90079e+06,7.95445e+06,8.07704e+06,8.27548e+06
67000,8.13352e+06,139855,7.90267e+06,8.04444e+06,8.09152e+06,8.19507e+06,8.56509e+06
68000,8.2998e+06,218358,8.02815e+06,8.20227e+06,8.26897e+06,8.34947e+06,9.29857e+06
69000,8.52564e+06,501371,8.20344e+06,8.28387e+06,8.40698e+06,8.54422e+06,1.09753e+07
70000,8.53142e+06,126188,8.26892e+06,8.45843e+06,8.5349e+06,8.61462e+06,8.80303e+06
71000,8.69347e+06,206402,8.40959e+06,8.55088e+06,8.66405e+06,8.76222e+06,9.51703e+06
72000,8.85872e+06,205318,8.55135e+06,8.68239e+06,8.8553e+06,8.97272e+06,9.41948e+06
73000,9.51189e+06,790621,8.71599e+06,9.09244e+06,9.34044e+06,9.62554e+06,1.21668e+07
74000,9.36644e+06,279486,8.99207e+06,9.16474e+06,9.351e+06,9.49953e+06,9.99247e+06
75000,9.74393e+06,775756,9.1301e+06,9.33454e+06,9.45871e+06,9.67758e+06,1.25232e+07
76000,9.4178e+06,176504,9.09665e+06,9.28196e+06,9.41259e+06,9.52044e+06,9.95774e+06
77000,9.7345e+06,353400,9.25132e+06,9.48689e+06,9.66758e+06,9.83797e+06,1.08065e+07
78000,9.67115e+06,293670,9.33789e+06,9.50535e+06,9.5721e+06,9.67433e+06,1.05234e+07
79000,9.75731e+06,143660,9.51487e+06,9.67575e+06,9.72814e+06,9.8458e+06,1.01031e+07
80000,9.96998e+06,301875,9.54334e+06,9.78192e+06,9.86583e+06,1.00676e+07,1.0848e+07
81000,1.03935e+07,734876,9.69116e+06,9.95889e+06,1.00516e+07,1.06954e+07,1.24486e+07
82000,1.06522e+07,736172,9.88104e+06,1.01831e+07,1.03401e+07,1.09419e+07,1.28562e+07
83000,1.03557e+07,149523,1.00545e+07,1.02794e+07,1.03466e+07,1.04365e+07,1.0672e+07
84000,1.13041e+07,1.68972e+06,1.01789e+07,1.04319e+07,1.06906e+07,1.10142e+07,1.7159e+07
85000,1.12307e+07,888707,1.0326e+07,1.05667e+07,1.09129e+07,1.16329e+07,1.39342e+07
86000,1.16385e+07,1.58744e+06,1.05119e+07,1.08191e+07,1.11068e+07,1.14852e+07,1.64938e+07
87000,1.16348e+07,530857,1.08249e+07,1.12402e+07,1.1534e+07,1.1936e+07,1.31773e+07
88000,1.1175e+07,351196,1.06624e+07,1.09717e+07,1.1106e+07,1.12932e+07,1.24102e+07
89000,1.11584e+07,203801,1.08095e+07,1.10317e+07,1.11448e+07,1.1258e+07,1.17952e+07
90000,1.13007e+07,205507,1.10434e+07,1.11584e+07,1.1261e+07,1.13307e+07,1.19932e+07
91000,1.14596e+07,267772,1.11706e+07,1.13069e+07,1.13934e+07,1.1509e+07,1.24718e+07
92000,1.18771e+07,824673,1.13414e+07,1.14877e+07,1.15904e+07,1.17498e+07,1.48569e+07
93000,1.1891e+07,328011,1.14139e+07,1.16311e+07,1.18157e+07,1.20925e+07,1.27059e+07
94000,1.19074e+07,185478,1.16958e+07,1.18095e+07,1.18697e+07,1.1979e+07,1.26009e+07
95000,1.30493e+07,1.2584e+06,1.18044e+07,1.2119e+07,1.22919e+07,1.3913e+07,1.60425e+07
96000,1.21627e+07,193770,1.17668e+07,1.20489e+07,1.21265e+07,1.22303e+07,1.27623e+07
97000,1.25303e+07,915408,1.20932e+07,1.22162e+07,1.2304e+07,1.24231e+07,1.69242e+07
98000,1.24421e+07,235527,1.2022e+07,1.22716e+07,1.24042e+07,1.25354e+07,1.32799e+07
99000,1.25423e+07,239856,1.22905e+07,1.24026e+07,1.24877e+07,1.26107e+07,1.34045e+07
100000,1.27124e+07,187899,1.24288e+07,1.26251e+07,1.26723e+07,1.27968e+07,1.33828e+07
