n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,14570.3,65703,1387,2080.75,2625.5,3369,374507
2000,7440.03,22394.6,1982,3269,3468,3888.75,130087
3000,8833.38,31317.1,1981,2997.5,3368.5,3765,180418
4000,11220.3,41919.4,2080,3269.75,3566.5,3789.75,240556
5000,12090.3,50084,1783,2576,3468,3789.75,286528
6000,24081.6,89936.6,1685,3566.75,3913.5,5028.25,506476
7000,16892.4,70344.3,2278,3095.75,3715,3888.75,401852
8000,17047.2,76896.3,1882,2477,2675,3864,438312
9000,19747.2,95799.2,1784,2378,2576,3666,544719
10000,25310.8,115357,2378,3170,3864,3963,655981
11000,23833.9,115151,1387,2650.25,3517.5,3864,654792
12000,23502.6,115778,2080,2477,2625.5,3765,657963
13000,25245.8,128060,2179,2378,2477,2576,727019
14000,29670.1,142056,2279,3640.5,4112,5176.75,808063
15000,27741.3,137007,1189,3146.25,3467.5,3864,778539
16000,30951.9,155007,1684,2650.25,3764.5,4062,880389
17000,42296.2,212119,2477,3021.75,4012.5,4780.75,1.20456e+06
18000,36329.9,185057,2476,2576,3121,3963,1.0504e+06
19000,47026.9,235359,1288,3566.75,3864,4062,1.33554e+06
20000,41321,208256,2278,3864,4706.5,5375,1.18257e+06
21000,46862.9,241951,1288,2873,3963,4408.5,1.3727e+06
22000,41776.1,216743,1982,2749.25,3269.5,3987.75,1.22953e+06
23000,57659.2,297974,1982,3418.25,4012.5,4261,1.69043e+06
24000,54299.7,272318,2080,2973,4012.5,4903.75,1.54509e+06
25000,48017.8,250209,1387,2675,3765,5374.75,1.41916e+06
26000,48894,255923,1684,2774,3814.5,4062.25,1.45136e+06
27000,49311.9,259734,1387,2774,3616,4062,1.47266e+06
28000,79013,409663,1585,3269.75,4062,4879.75,2.32313e+06
29000,54553.6,286620,1288,2774.75,3765,5275.75,1.62524e+06
30000,56169.8,291647,1387,3641.25,4507.5,5350,1.65437e+06
31000,63851.3,328988,2576,4037.25,4755,5399.75,1.86659e+06
32000,59525.9,307067,1783,3740.25,4161,5548.25,1.74205e+06
33000,74997.4,381689,2576,3839,5251,5573,2.16481e+06
34000,68396.5,362775,1189,3492,4260,5449.25,2.05642e+06
35000,70325.3,370305,1288,4136.25,5251,5697.25,2.09962e+06
36000,71037.3,377335,1189,3765,4409.5,5449,2.13885e+06
37000,75028.3,405840,1090,2675,3418,4087.5,2.29906e+06
38000,77078,409412,1288,2873.75,3567,5077.75,2.32056e+06
39000,75300.8,406531,1189,2576,3814.5,4087.5,2.30312e+06
40000,86741.5,464957,2476,3243.5,4061,4160,2.63468e+06
41000,75053.8,407417,2476,2575,2724,3566,2.30773e+06
42000,78149.2,418149,2773,3540.5,4110.5,5200.5,2.36963e+06
43000,98918.2,523537,2377,3218.5,4209.5,4705.5,2.96759e+06
44000,84615.1,459081,1288,2873,3664.5,3986.75,2.60041e+06
45000,90660.1,492736,1981,2872,3368,4259,2.79088e+06
46000,85642.7,460830,1486,3368,3813,5150.25,2.61101e+06
47000,97695.8,523059,2773,3590.75,4160,5373.75,2.96402e+06
48000,114169,603814,1783,4209.5,5298.5,6537,3.42271e+06
49000,107235,538809,1585,3293,4507,5547,3.05386e+06
50000,92560.6,504209,2179,2773,2971.5,4061,2.85566e+06
51000,93541.8,501326,2773,3739.25,4259,5471.75,2.8408e+06
52000,105366,566036,2773,4679.75,5547,6042,3.20728e+06
53000,101503,547872,2179,3863,4457,5769.5,3.10388e+06
54000,106622,582182,2080,2773.75,3813,4234.25,3.29702e+06
55000,99989.1,541660,1485,3244.25,4110.5,5645.25,3.06832e+06
56000,114432,622237,2773,3615.5,4259,5645,3.52434e+06
57000,119654,659113,1585,2773,2922,3962,3.73164e+06
58000,137111,747159,2674,3169.75,4061,4259,4.23154e+06
59000,121758,667336,1584,3045.25,3665,4061,3.77879e+06
60000,123903,678347,1585,3170,4160,4407.5,3.84129e+06
61000,122743,669684,1386,3689.75,4260,5472.75,3.79266e+06
62000,145926,783975,2773,3664,4209.5,5868.75,4.44172e+06
63000,143419,789863,2575,3392.5,4110.5,4259,4.47193e+06
64000,134774,740002,1684,2971.75,4061,4679.75,4.19004e+06
65000,155589,858331,1585,3169,4160,4457,4.85931e+06
66000,150380,830038,1783,2873,3813.5,4259,4.69905e+06
67000,151773,835965,1882,2946.25,4160,5076.75,4.73292e+06
68000,219615,1.20474e+06,2971,5150.75,6438,7379.5,6.82165e+06
69000,217430,1.19738e+06,2773,4853,5745,6636,6.77916e+06
70000,196431,1.07339e+06,1882,5621.25,6537.5,7676.5,6.07869e+06
71000,160186,883379,1684,2873,3219.5,4259,5.00115e+06
