n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,82524.9,12721.7,62561,74629,75981,92949,118943
2000,185572,54122.6,144142,148994,160362,213413,390139
3000,252387,32093.5,232094,232940,237453,261492,383188
4000,382491,83546.3,323330,331802,343508,420575,688946
5000,434480,28753.6,413793,414951,420213,441840,513234
6000,538438,39801.7,511110,514852,525496,544732,680643
7000,694386,112543,609104,618854,640288,735505,1.03265e+06
8000,819841,105500,708449,726213,781871,897146,1.11143e+06
9000,900797,132910,813876,826161,849598,924179,1.50224e+06
10000,989992,95808.3,911483,936030,955701,995960,1.38137e+06
11000,1.15442e+06,138678,1.01556e+06,1.0326e+06,1.09617e+06,1.26274e+06,1.46527e+06
12000,1.2721e+06,147057,1.10998e+06,1.15104e+06,1.23838e+06,1.37065e+06,1.61993e+06
13000,1.36831e+06,180251,1.21502e+06,1.24558e+06,1.31253e+06,1.40461e+06,1.91729e+06
14000,1.45128e+06,139091,1.33416e+06,1.3622e+06,1.38031e+06,1.46795e+06,1.79748e+06
15000,1.63262e+06,195158,1.44132e+06,1.48554e+06,1.58551e+06,1.73902e+06,2.25462e+06
16000,1.71143e+06,176616,1.54694e+06,1.574e+06,1.6516e+06,1.7963e+06,2.25626e+06
17000,1.88904e+06,182705,1.65478e+06,1.71411e+06,1.88427e+06,2.0079e+06,2.29285e+06
18000,1.9601e+06,186149,1.77324e+06,1.80255e+06,1.94814e+06,2.06097e+06,2.62864e+06
19000,2.08711e+06,180452,1.86554e+06,1.92234e+06,2.06496e+06,2.21163e+06,2.46016e+06
20000,2.15484e+06,141453,1.96981e+06,2.04434e+06,2.10985e+06,2.26452e+06,2.45978e+06
21000,2.3303e+06,191464,2.12342e+06,2.18383e+06,2.2804e+06,2.4529e+06,2.79653e+06
22000,2.4338e+06,199706,2.19621e+06,2.2921e+06,2.38949e+06,2.4906e+06,3.03152e+06
23000,2.62365e+06,290250,2.32085e+06,2.37878e+06,2.49366e+06,2.89824e+06,3.25097e+06
24000,2.69449e+06,227375,2.42811e+06,2.49895e+06,2.67469e+06,2.81021e+06,3.38584e+06
25000,2.95269e+06,443308,2.57544e+06,2.69207e+06,2.77051e+06,3.04086e+06,4.79308e+06
26000,2.8009e+06,87835.8,2.66561e+06,2.73669e+06,2.79344e+06,2.85626e+06,3.01395e+06
27000,2.94177e+06,124956,2.76245e+06,2.85769e+06,2.9202e+06,2.99737e+06,3.42359e+06
28000,3.04682e+06,88721.6,2.89346e+06,2.97038e+06,3.05189e+06,3.11592e+06,3.21621e+06
29000,3.15157e+06,107256,2.98798e+06,3.06847e+06,3.1299e+06,3.24508e+06,3.44415e+06
30000,3.3013e+06,112435,3.12246e+06,3.19775e+06,3.32149e+06,3.37935e+06,3.58289e+06
31000,3.43399e+06,146204,3.23967e+06,3.33028e+06,3.40698e+06,3.49868e+06,3.94484e+06
32000,3.64432e+06,258401,3.36943e+06,3.47201e+06,3.54992e+06,3.76181e+06,4.28091e+06
33000,3.73306e+06,183520,3.4735e+06,3.64569e+06,3.70598e+06,3.76618e+06,4.34965e+06
34000,3.82885e+06,194915,3.60741e+06,3.6979e+06,3.79746e+06,3.87783e+06,4.70445e+06
35000,3.94345e+06,114329,3.76343e+06,3.8692e+06,3.94575e+06,3.98712e+06,4.1807e+06
36000,4.08829e+06,98873.9,3.8931e+06,4.00033e+06,4.08443e+06,4.16325e+06,4.22753e+06
37000,4.21685e+06,102959,3.99494e+06,4.17734e+06,4.22326e+06,4.27457e+06,4.42875e+06
38000,4.39165e+06,114483,4.28496e+06,4.31863e+06,4.35823e+06,4.43625e+06,4.77582e+06
39000,4.57754e+06,132288,4.36171e+06,4.47798e+06,4.55724e+06,4.6457e+06,5.00144e+06
