n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,245.938,71.551,99,199,200,299,399
2000,236.375,70.4606,99,199,199,299,398
3000,242.688,75.5908,99,199,199,299,398
4000,367.281,102.677,199,299,398,399,698
5000,342.281,87.3027,199,299,299,398,498
6000,289.469,99.2719,99,199,298.5,398,498
7000,336.125,103.567,199,298,299,399,498
8000,267.75,73.3885,99,200,298.5,299,399
9000,317.562,89.2951,199,199.75,299,398.25,498
10000,345.562,75.8674,199,299,299,399,498
11000,273.906,75.8731,100,199,299,299,399
12000,292.562,83.6436,199,199,299,323.75,497
13000,476.125,197.118,298,398,448,498,1394
14000,339.281,103.844,199,298.75,299,399,597
15000,295.625,85.9188,199,199,298.5,398,498
16000,289.438,73.0634,199,200,299,299,498
17000,382.938,84.3491,199,299,398.5,423.75,498
18000,298.812,61.8038,199,298,299,299,399
19000,320.562,70.4671,199,298,299,398,498
20000,351.719,104.307,199,298,348.5,399,498
21000,295.812,89.5654,199,199.75,299,299,598
22000,298.906,71.7533,199,273.5,299,323.75,399
23000,292.625,97.7016,199,199.75,298.5,323.75,498
24000,367.281,141.744,199,299,299,399,896
25000,379.625,81.6779,199,299,398,399,597
26000,292.656,66.7487,199,273.5,299,299,399
27000,301.781,102.763,199,199,299,299,697
28000,370.438,95.4632,199,299,398,399,598
29000,286.281,74.797,199,199,299,299,399
30000,407.75,114.127,199,299,398,498,598
31000,376.625,112.279,199,299,398,498,598
32000,395.312,85.6822,199,373.25,398,498,498
33000,404.625,100.965,199,299,399,498,598
34000,401.438,132.573,199,299,398,498,896
35000,298.875,83.8219,199,200,299,398,498
36000,273.938,61.9849,199,199,299,299,399
37000,311.312,65.7848,199,298.75,299,299,498
38000,407.688,81.4796,298,373.25,398,498,598
39000,451.094,107.254,298,398,399,498,697
40000,301.938,73.6013,199,299,299,299,498
41000,342.375,107.254,199,298,299,399,598
42000,311.25,86.7347,199,298,299,398,597
43000,301.875,53.5644,199,298.75,299,299,399
44000,451.312,123.897,298,398,399,498,896
45000,305,87.4104,199,199.75,299,398,498
46000,429.531,105.586,298,398,399,498,697
47000,423.344,190.913,298,299,398,498,1195
48000,339.25,79.3876,199,298.75,299,398,498
49000,314.312,67.3251,199,298,299,398,399
50000,417.062,132.493,199,299,398,498,797
51000,305.094,83.5168,199,200,299,398,498
52000,289.594,63.898,199,298.75,299,299,498
53000,497.938,110.163,299,398.75,498,597,697
54000,388.938,127.329,199,299,348.5,498,697
55000,547.781,407.161,199,398,448,498,2092
56000,438.781,106.8,298,373.25,399,498,598
57000,333.031,82.4525,199,299,299,398,598
58000,407.781,119.617,199,299,398.5,498,697
59000,317.281,105.666,199,298,299,299,697
60000,311.281,55.1779,199,298.75,299,299,399
61000,507.375,204.499,299,398,399,547.75,1196
62000,277.031,65.6395,199,199.75,299,299,399
63000,389.062,116.904,199,299,398,498,598
64000,298.719,66.916,199,298,299,299,399
65000,398.5,115.982,199,299,398,498,598
66000,283.219,67.4512,199,199.75,299,299,399
67000,351.438,75.7828,199,298.75,398,398,597
68000,376.594,86.6494,199,299,398,423.75,498
69000,304.969,71.1371,199,298,299,299,498
70000,364.094,109.224,199,298,348.5,399,598
71000,410.875,117.982,199,299,398,423.75,796
72000,301.812,64.2979,199,298,299,299,399
73000,510.375,125.866,299,398,498,597,797
74000,392.062,133.621,199,299,398,498,697
75000,494.844,108.82,298,398.75,498,597,797
76000,401.344,96.3614,199,299,398,498,598
77000,460.656,103.548,298,398,448.5,498,797
78000,460.75,135.577,299,398,399,522.75,897
79000,301.844,64.2461,199,298,299,299,398
80000,361.156,90.3013,199,299,348.5,399,598
81000,395.312,119.891,199,299,398,498,598
82000,320.562,65.6319,199,298.75,299,398,399
83000,348.562,83.937,199,299,299,398.25,498
84000,332.938,86.1656,199,298,299,398,498
85000,317.562,58.9105,199,299,299,398,399
86000,438.781,100.674,298,398,448.5,498,697
87000,407.75,150.331,199,299,398,423.75,896
88000,361,106.621,199,299,299,423.75,598
89000,320.625,74.8425,199,299,299,398,498
90000,314.281,76.3144,199,298,299,398,498
91000,413.75,91.7342,298,398,398,399,697
92000,311.219,74.7541,199,298.75,299,299,498
93000,317.438,69.0796,199,298,299,398,498
94000,326.688,76.9338,199,298,299,398,498
95000,395.281,154.835,199,299,348.5,498,698
96000,308.031,92.5281,199,298,299,299,698
97000,392.188,121.089,199,299,398,423.75,598
98000,370.312,88.3338,200,299,398,399,597
99000,482.312,202.433,200,398,399,522.75,996
100000,357.969,87.0563,200,299,299,399,597
