n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,2264.31,2952.02,891,1163.25,1781,1806.5,15937
2000,1800.34,433.636,1089,1386,1682.5,2178,2475
3000,2171.47,571.499,1188,1757,2276,2499.75,3366
4000,2620,3265.61,990,1757.25,1930,2004.75,15441
5000,1333.28,398.407,890,1063.5,1138.5,1880.25,1980
6000,2421.94,1950.61,1088,1558.5,2325.5,2672.25,12670
7000,1574.5,462.449,990,1188,1386,2004.5,2673
8000,1648.66,451.618,990,1361,1682.5,1980,2772
9000,1633.19,587.47,891,1163.25,1435,2078,2871
10000,3179.91,4609.3,1386,1855.5,2128,2326.25,25142
11000,3028.25,3459.01,1188,1782,2178,2574,17025
12000,1849.69,599.952,990,1335.75,1880.5,2202.75,3266
13000,2722.09,2626.02,1188,1658.25,2376,2796.75,16629
14000,3415.03,8204.4,1187,1658.25,1980,2375.25,48304
15000,1744.62,469.524,990,1286.75,1782,2103.5,2574
16000,1636.44,451.831,1089,1188,1534.5,2004.75,2475
17000,2638.53,2580.2,990,1757.25,2178,2772,16332
18000,1716.72,584.591,891,1286.75,1583.5,2004.75,3267
19000,1868.41,526.676,990,1460.25,1880,2277,3069
20000,4757.5,9386.83,1088,1707.75,2078.5,2474.25,45830
21000,1806.38,575.985,990,1335.75,1781.5,2202.5,3365
22000,2032.38,638.631,990,1485,2028.5,2400.5,3465
23000,2539.41,673.863,1386,2078.75,2523.5,3092.75,3959
24000,3869.53,4296.91,1583,2202,2871,3316.25,20786
25000,2060.06,603.547,1188,1682,2078.5,2499.5,3662
26000,2196.28,638.79,1188,1583.75,2029.5,2796,3168
27000,2554.88,2549.26,990,1682,1980,2623.25,16035
28000,2712.81,760.068,1386,2079,2672,3267,4257
29000,1654.94,520.306,1089,1262.25,1435.5,1980,3267
30000,2180.69,600.605,990,1682.75,2128,2673,3365
31000,1825.16,509.607,1089,1485,1782,2078,3366
32000,2579.84,964.608,1484,1979.75,2474.5,2994.75,6731
33000,2728.34,1754.31,1089,1683,2376,3192.75,11284
34000,1902.25,503.996,1187,1485,1880,2300.75,2871
35000,2335.44,681.528,1188,1683,2474.5,2970,3366
36000,2298.22,751.959,1188,1757.25,2277,2870,4058
37000,2121.97,562.133,1188,1658.25,2227,2499.5,3168
38000,2273.53,743.446,1187,1658.25,2128.5,2821.25,3861
39000,2403.38,639.147,1385,1979,2326.5,2796.5,4058
40000,2257.81,563.505,1188,1855.5,2276.5,2597.75,3464
41000,1967.03,583.087,1089,1484.75,1880,2375.25,3069
42000,4169.09,8549.8,1385,2152.5,2375,2573,49089
43000,2100.03,681.802,990,1632.75,1980,2696.75,3365
44000,2446.34,686.864,1286,1955.25,2474,3068,3860
45000,2434,688.87,1286,1979,2425,2870,4058
46000,2313.47,676.366,1287,1830.5,2177.5,2796,3563
47000,2099.97,589.453,1286,1484,2226.5,2573,3068
48000,3108.34,728.089,1980,2499,3068.5,3686.75,4751
49000,3460.94,2669.29,1979,2449.5,2969.5,3464,17617
50000,2712.44,758.645,1287,2226.75,2672.5,3191.75,4157
51000,1991.75,706.84,990,1459.5,1831,2375,3563
52000,2687.72,637.522,1385,2251.5,2673,3092.75,3959
53000,2839.19,577.323,1584,2475,2771,3191.75,3959
54000,3259.81,670.741,2078,2870,3167,3662,4948
55000,3012.41,2361.64,1385,2152.25,2672,3092.75,15538
56000,2072.19,766.936,1089,1361.25,2029,2597.75,3662
57000,2468.16,719.316,1484,1757.25,2326.5,3068,3761
58000,2270.19,549.073,1286,1880.75,2177,2696.75,3464
59000,2319.53,579.802,1287,1781,2375,2795.75,3266
60000,2406.25,624.078,1287,1880.75,2227,2969,3563
61000,1809.44,531.7,1187,1434.75,1880.5,1980,3662
62000,2468.12,680.542,1089,2078,2425,2870,3761
63000,2415.28,518.671,1683,2053.5,2325.5,2795.5,3464
64000,1911.06,652.819,990,1385.75,1781,2152.25,3859
65000,2359.44,623.956,1187,1781,2325.5,2795.5,3661
66000,2010,701.443,1088,1558.5,1929.5,2498.75,3563
67000,2186.34,490.847,1485,1781.75,2177,2276,3563
68000,2186.31,702.961,1187,1485,2078.5,2672,3661
69000,2316.25,623.881,1188,1855.25,2375,2696.75,3563
70000,2297.62,674.739,1188,1954.25,2276,2671.25,3662
71000,2359.53,554.106,1287,2127.5,2375,2597.75,3662
72000,2365.69,738.973,1187,1682,2424.5,2771,4058
73000,1976.06,613.019,989,1533.75,2029,2375,3860
74000,1997.72,661.114,1088,1484,1979,2375,4355
75000,2025.66,748.963,1187,1386,1782,2498.75,3761
76000,2421.34,888.627,1188,1682,2276,3067.25,4552
77000,2962.69,896.143,1287,2152.5,2870,3686.5,4553
78000,2245.19,638.138,1286,1756.25,2276,2721.5,3464
79000,1886.34,610.934,1089,1287,1979,2202.5,3760
80000,2603.5,700.81,1188,2078,2522.5,3092.5,4156
81000,2414.94,741.593,1089,2028.5,2375,2794.75,3859
82000,1994.44,728.1,1088,1287,1831,2596.75,3562
83000,2149.03,553.075,1187,1583,2276,2573,3265
84000,2152.22,641.737,1089,1657.25,2078,2597.75,3463
85000,2773.59,784.617,1286,2226.5,2721,3487.75,4255
86000,2551.03,1247.95,1287,1657.25,2424.5,3116.5,7817
87000,2124.34,843.762,890,1386,1731.5,2770,3760
88000,2594.25,896.581,1187,1855.25,2672,3289.75,4155
89000,2176.81,735.327,1286,1385,2226,2696,3661
90000,2520.06,783.289,1187,2003.75,2523.5,2993.5,3958
91000,2467.5,600.072,1187,2078,2473.5,2819.5,3661
92000,2124.31,651.653,1187,1657.25,1979,2375,4057
93000,2127.44,696.478,1089,1682.75,1929,2300.75,3859
94000,2488.59,835.144,1243,1735,2692.5,2925.75,4039
95000,2951.28,1967.46,1553,2278.75,2692.5,3003,13255
96000,2588.84,674.695,1346,2174.75,2537,3003,4039
97000,2284.69,705.764,1346,1734.25,2278,2692.25,4349
98000,2779.62,747.124,1553,2148.25,2744,3339.75,4556
99000,2944.75,797.375,1553,2355.25,2693,3547,4660
100000,2229.41,664.911,1035,1605.25,2278,2821.75,3417
