n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,212.406,60.8747,100,200,200,224.75,300
2000,234.25,70.0843,100,200,200,300,500
3000,206.031,56.295,100,199.75,200,200,399
4000,224.938,56.7115,100,200,200,224.75,400
5000,203,59.4914,99,200,200,200,300
6000,237.406,180.968,100,200,200,200,1200
7000,256.125,149.99,199,200,200,224.75,999
8000,262.25,103.738,100,200,200,300,699
9000,224.844,101.545,100,200,200,200,700
10000,302.969,169.261,199,200,249.5,300,900
11000,318.594,122.888,199,274.25,300,300,700
12000,343.562,194.959,199,200,299,325,899
13000,318.594,157.433,100,200,300,300,800
14000,312.25,161.964,199,200,299.5,300,899
15000,243.625,141.136,100,200,200,300,899
16000,252.906,101.447,199,200,200,300,699
17000,256.125,154.252,100,200,200,299,800
18000,315.469,152.543,199,200,300,300,799
19000,306.094,138.868,199,200,299,325,699
20000,271.781,77.2348,199,200,300,300,500
21000,302.531,132.91,199,200,299,300,599
22000,290.062,201.899,100,199,200,299.25,899
23000,324.438,263.446,100,200,249.5,324.75,1597
24000,318.188,221.523,100,200,249.5,300,1097
25000,340.031,223.776,99,200,299,399,1098
26000,283.812,119.276,100,200,299,300,699
27000,340.094,227.949,199,200,299,324.75,1098
28000,302.656,135.336,199,200,299,300,799
29000,433.719,352.752,199,200,299,524,1697
30000,355.688,156.203,199,274.25,300,424.75,799
31000,358.75,313.43,100,200,200,349.75,1597
32000,393,275.345,199,200,299,523.75,1398
33000,321.25,205.425,199,200,200,399,998
34000,299.438,160.283,199,200,299,300,998
35000,343.25,217.95,199,200,299,324.75,1198
36000,514.719,412.792,199,274.25,349.5,599,1997
37000,732.969,1941.38,199,200,299,599,11279
38000,1047.97,3421.11,199,299,399,599,19763
39000,402.562,322.311,99,200,299,524,1398
40000,464.812,251.884,199,200,350,699,999
41000,389.938,186.771,199,200,300,499.25,898
42000,411.812,197.693,199,200,399,599,799
43000,430.281,259.049,199,200,299,598,1297
44000,448.625,278.5,199,299,349.5,598,1495
45000,426.906,201.39,199,299,399,499,1197
46000,470.469,249.605,199,274.25,448.5,697.25,1196
47000,398.781,186.099,199,274.25,399,499,897
48000,482.906,333.242,199,200,299.5,698,1496
49000,436.281,344.138,199,200,299,498.25,1795
50000,454.812,258.042,199,299,399,523,1196
51000,423.688,241.616,199,199.75,348.5,598,1097
52000,489.125,306.264,199,274.25,299,698,1296
53000,760.312,1584.22,199,274.25,398,698,9272
54000,470.531,233.797,199,299,399,598.25,1096
55000,523.406,294.245,199,299,399,797,1196
56000,514.031,269.205,199,299,548,697,1396
57000,2090.22,8827.1,199,299,498.5,797,50445
58000,594.281,262.225,199,398,598,721.75,1294
59000,504.219,266.434,199,299,498,697,1295
60000,569.5,234.84,199,398,597,697,1095
61000,538.406,358.457,199,299,448.5,697,1892
62000,532.219,252.47,199,299,448.5,722.5,1195
63000,553.781,369.154,199,298,448,697,1892
64000,538.438,215.923,199,398,498,697,1096
65000,532.281,229.813,199,398.75,498,697,1096
66000,557.188,211.456,200,473.25,547.5,598,1395
67000,610.094,297.005,199,398,597.5,796.25,1295
68000,622.125,301.408,199,398.75,547.5,721.75,1493
69000,516.219,281.955,199,298.75,497,597,1194
70000,609.469,297.652,199,472.25,597,721.75,1791
71000,572,252.731,199,398,597,696.25,1293
72000,634.344,240.74,199,498,597,697,1393
73000,674.625,436.205,199,398,597,796,2090
74000,612.625,260.387,298,398,547.5,796,1493
75000,631.281,286.675,298,398,597,696.25,1493
76000,749.344,480.77,299,472.25,646.5,895.25,2985
77000,640.438,358.263,199,497,597,621.75,1890
78000,664.906,271.29,199,497,597,720.75,1293
79000,615.094,256.942,198,472.25,596,795,1293
80000,692.938,274.79,199,571.25,597,795.25,1690
81000,714.562,272.401,298,571.5,696,796,1590
82000,3354.81,15587.8,199,472.25,596,696,88767
83000,608.781,218.251,198,497,596.5,696,1093
84000,695.812,358.894,199,497,597,820,2088
85000,2000.5,7800.41,199,497,597,696,44731
86000,648.969,251.005,199,497,596,696,1688
87000,645.781,279.816,199,471.5,596,696,1391
88000,627,265.181,298,397,596,720.5,1391
89000,788.469,500.78,298,596,695,795,2980
90000,608.469,257.112,199,397.75,596,696,1590
91000,751.188,275.159,397,497,696,894,1391
92000,679.75,437.767,199,471.5,695,696,2682
93000,735.719,248.209,298,596,696,894,1390
94000,725.844,391.91,297,496,596,695,2085
95000,589.406,226.823,199,471.5,595.5,695,1390
96000,787.906,368.047,397,595,695,794.25,2085
97000,663.812,239.837,297,496.75,596,695,1489
98000,688.75,300.595,297,496,596,794,1589
99000,837.469,281.807,198,694.75,794,993,1687
100000,682.5,342.694,298,570.25,596,695,1886
