n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,1478.06,2517.61,692,693,791.5,1509.5,15041
2000,1314.38,510.224,693,792,1583,1683,2079
3000,2093.59,3337.61,693,891,1732,2078,20089
4000,1280.25,951.781,692,791,792,1682,5739
5000,1339.09,885.739,692,693,1138,1682,5245
6000,2965.44,4440.53,693,989.75,1732,2078,17119
7000,1666.94,1171.27,693,989.75,1583,1979,7322
8000,1549.25,503.089,891,1088,1435.5,1979,2869
9000,1555.44,1013.25,692,792,1533.5,2078,6135
10000,1738.06,632.914,890,1089,1979,2078,3266
11000,1425.66,1284.87,692,791.75,990,1805.75,7917
12000,1734.91,1270.92,791,989,1781.5,1979,8114
13000,1385.28,506.552,692,989.75,1138,1979,2177
14000,2575.94,4356.35,792,990,1781,1980,22067
15000,1509.06,1158.08,891,989,990,1979,7026
16000,1314.22,1034.41,791,890.75,940,1187.75,6433
17000,1348.28,606.214,692,766.5,1286.5,1880,2375
18000,1552.41,1346.51,693,891,990,2004.5,8214
19000,3271.44,8681.37,692,791,940,1212.5,47197
20000,1604.78,581.645,692,989,1978.5,1979,2473
21000,1490.25,1299.91,692,792,989,1805.75,7619
22000,1573.84,587.301,890,990,1534,2102.5,2375
23000,1456.25,900.925,791,865.5,1088.5,1830.25,5442
24000,1360.41,526.536,692,792,1632.5,1781,2275
25000,1512.03,1028.45,692,964.25,1089,1979,6333
26000,2176.56,4227.1,692,890.75,1039,1880,24736
27000,1713.06,2076.77,890,989,1089,1904.75,12764
28000,1301.56,554.063,692,865.5,989.5,1880,2374
29000,1332.66,598.466,890,891,989,1979,2672
30000,1422.41,688.522,692,792,1138.5,1979,3364
31000,2251.09,3377.74,692,792,1583,1781,16523
32000,1391.38,547.097,692,792,1583,1904.5,2176
33000,1335.72,631.3,692,890,989.5,1904.75,2968
34000,1502.72,1120.43,692,989,1138,1880,7025
35000,1604.78,1224,791,891,1089,2078,7421
36000,1072.84,904.486,692,693,791.5,816.5,5640
37000,1719.31,3219.04,692,791,891,1584,19195
38000,1286.25,602.165,692,766.5,989,1979,2573
39000,1762.38,3086.65,594,766.5,792,1607.75,17810
40000,3215.78,8680.05,692,791.75,1632.5,1880,49076
41000,1187.44,1074.71,692,766.5,792,1508.75,6629
42000,1175.06,525.18,791,890.75,891,1014.5,2671
43000,1258.47,511.559,693,890,990,1805.75,2177
44000,1060.56,464.962,692,791,792,1212.5,2078
45000,2696.22,5277.59,692,1459.5,1978.5,2102.75,31464
46000,2195.28,2888.25,791,1163.25,1880,2078,17810
47000,2068.56,2803.49,693,792,1682,2077,16524
48000,1558.41,1249.1,692,791.75,1583.5,1904.75,7718
49000,1601.78,679.996,891,990,1138.5,2201.5,2968
50000,1515.06,1187.46,791,989,990,1880,7025
51000,1276.91,1091.24,693,791,792,1533.25,6529
52000,1465.34,556.549,692,964.25,1583,1978.25,2473
53000,1286.19,925.254,693,791.75,841,1682,5738
54000,1552.06,521.356,989,1063.5,1533.5,2077,2275
55000,1755.94,583.983,989,1088,2077,2176,2770
56000,1456.22,1597.4,692,791,841.5,1706.75,9695
57000,1703.41,1210.33,890,964.5,1533,1979,7420
58000,1428.38,542.969,989,989.75,1088,2003.5,2770
59000,1468.59,2351.63,692,791,792,1582.25,14148
60000,1171.78,497.013,692,791,891,1682,2077
61000,1338.72,528.274,791,989,1088,1978.25,2473
62000,1187.19,565.878,692,791,890,1632.5,2671
63000,1205.62,467.08,693,791,990,1682,2374
64000,2040.5,4105.17,692,791,1385,1781,24337
65000,1214.94,548.979,692,791,940,1682,2275
66000,1051.12,447.229,692,791,791,1583,2077
67000,1910.66,2959.41,692,791,1138,1979,17313
68000,1267.59,581.609,692,766.5,989.5,1780.25,2275
69000,1128.41,498.569,594,791,792,1681,2078
70000,2565.69,7905.84,692,693,890.5,1706.5,45801
71000,1044.97,501.826,692,693,791,1607.75,2077
72000,1298.22,552.704,692,890,989,1879,2276
73000,1112.84,531.252,692,766.5,792,1682,2374
74000,1502.38,1199.27,692,791,1286,1805.5,7320
75000,989.312,404.34,692,693,791.5,1064,1780
76000,1579.59,586.842,692,890,1780.5,1979,2769
77000,2881.16,9038.49,692,791,1385,1781,52330
78000,1527.03,1077.34,692,865.25,1582.5,1706.5,6826
79000,1001.5,433.49,692,766.5,791,1063.75,2176
80000,1449.81,546.181,890,964.5,1088.5,1978,2671
81000,1582.59,1093.71,692,890,1137.5,2003.5,6528
82000,1632.28,552.754,693,1063.25,1880,2003.5,2572
83000,1066.44,460.396,692,766.5,792,1508.5,1979
84000,1224.19,1060.31,692,693,792,1582.25,6430
85000,1381.94,590.041,692,792,1335.5,1904.5,2572
86000,982.938,429.317,692,693,791,989,2077
87000,1604.28,554.806,890,989,1978,2077,2374
88000,1168.44,563.686,692,791,841,1681.25,2374
89000,1150.03,509.213,692,791,792,1681,2176
90000,1149.81,467.132,692,791,890,1681,1978
91000,1394.16,631.206,692,791,1187,2077,2275
92000,1530,1442.07,692,791,939.5,1879,8804
93000,1239.56,539.926,692,791,1088,1681,2374
94000,1369.28,1006.24,692,791,890,1904.5,5440
95000,1783.75,1297.13,693,965,1731,1978.25,8111
96000,1310.69,541.695,692,791,1236,1682,2374
97000,3786.44,11857.2,791,989,1434.5,2200.75,68546
98000,1944.12,1566.27,791,1088,1928.5,2102.5,9891
99000,1072.53,517.7,726,726,829,1114.5,2177
100000,1720.44,1916.89,933,1036,1088.5,2073.25,11820
