n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,303.438,220.863,99,99,148.5,496,694
2000,368.531,190.379,99,173.5,396,496,792
3000,229.125,206.657,0,99,99,396.25,694
4000,402.562,956.875,0,99,99.5,495,5548
5000,427.281,880.064,0,99,396,421.5,5153
6000,219.812,182.745,0,99,99,396.25,496
7000,442.781,971.169,0,99,248,495,5648
8000,278.625,895.562,0,99,99,99,5152
9000,619.219,1062.96,0,396,495,595,6341
10000,421.062,199.775,0,346.5,495,594,694
11000,179.656,195.707,0,99,99,247.5,595
12000,928.875,3112.15,99,173.25,495,594,17934
13000,207.469,206.619,0,99,99,396.25,694
14000,569.688,1219,0,99,495,496,7134
15000,699.688,1964.1,0,99,396,495,11196
16000,545.031,1045.53,0,99,495,594,6143
17000,442.594,272.156,99,198,495,619.5,990
18000,198.219,168.893,0,99,99,396,595
19000,365.312,459.594,0,99,198,520.5,2279
20000,167.188,162.033,0,99,99,174,496
21000,486.031,1123.26,99,99,198,495,6539
22000,563.594,1202.9,99,99,495,520.5,7035
23000,486.125,1044.16,99,99,198,594,6044
24000,195.031,195.714,0,99,99,396,694
25000,538.906,1328.93,0,99,298,496,7729
26000,504.75,1047.78,0,99,446,496,6143
27000,433.625,299.823,99,173.25,496,595,1487
28000,238.344,202.615,99,99,149,272.25,892
29000,170.375,147.325,0,99,99,100,496
30000,170.25,157.586,0,99,99,124.5,495
31000,495.438,947.592,0,99,495,496,5548
32000,154.812,160.965,0,99,99,99.25,693
33000,396.281,910.639,0,99,99,421.5,5252
34000,377.688,855.846,0,99,99,421.5,4855
35000,207.438,218.388,0,74.25,99,396,792
36000,269.344,218.209,99,99,99.5,495,693
37000,287.906,255.831,0,99,149,495,892
38000,191.969,225,0,99,99,174,1090
39000,284.875,216.186,99,99,149,495.25,694
40000,1170.38,5034.01,0,99,198,495,28734
41000,182.625,191.861,0,99,99,396,793
42000,191.969,181.404,99,99,99,198,694
43000,192.062,210.529,0,99,99,174,991
44000,201.219,239.343,0,99,99,174,1189
45000,195.125,182.405,0,99,99,396,594
46000,188.875,233.825,0,99,99,174,1090
47000,399.406,891.696,0,99,99.5,421.5,5152
48000,467.625,1154.81,99,99,99.5,421.5,6540
49000,390.062,248.899,99,198,396,594,1089
50000,365.375,289.64,0,99,446,496,1387
51000,359.031,287.722,99,99,198,594,1090
52000,281.75,237.603,0,99,99.5,496,694
53000,811.281,2263.24,99,99,148.5,495,11494
54000,489.188,1071.25,99,99,198,495,6242
55000,526.25,983.775,99,99,495,520.5,5746
56000,297.219,286.82,0,99,100,495,1287
57000,309.594,782.783,0,99,99,174,4458
58000,417.938,831.391,0,99,99,496,4755
59000,646.875,1933.05,99,99,99,346.5,10896
60000,284.812,254.942,0,99,149,495,991
61000,216.75,212.7,0,99,99,396.25,793
62000,318.875,302.737,99,99,198,520.5,1188
63000,222.844,213.555,99,99,99,198,892
64000,198.031,225.027,0,99,99,123.75,991
65000,318.812,308.944,99,99,198,594,1288
66000,238.375,231.739,0,99,99,495,891
67000,433.406,1074.97,0,99,99,495.25,6141
68000,399.25,251.026,99,173.25,495,594,991
69000,235.188,237.019,0,99,99,396,892
70000,1476.47,7054.03,0,99,99,420.75,40116
71000,272.375,219.349,0,99,99,495,792
72000,182.594,242.804,0,99,99,99,1189
73000,414.812,265.638,99,173.5,495,594,1288
74000,646.906,1206.91,0,173.25,396.5,619.5,6934
75000,445.719,1029.65,99,99,149,495,5943
76000,650.094,1211.48,99,99,297.5,693,6339
77000,1426.84,7026.66,0,99,99,396,39917
78000,266.219,214.117,99,99,99.5,495,891
79000,216.656,221.375,0,99,99,396.25,990
80000,281.781,240.145,0,99,149,495,991
81000,417.938,994.277,99,99,99,495,5745
82000,176.375,199.205,0,99,99,99,990
83000,380.719,691.825,0,99,99,495,3962
84000,368.344,929.651,0,99,99,420.75,5349
85000,284.75,365.3,99,99,99,272.25,1882
86000,238.25,251.342,99,99,99,198,990
87000,148.625,227.721,0,74.25,99,99.25,1188
88000,235.188,226.039,0,99,99,420.75,891
89000,225.906,203.137,0,99,99,396,792
90000,309.594,240.986,0,99,297.5,495,792
91000,303.281,275.515,99,99,198,495,1387
92000,501.594,1049.69,99,99,199,496,6042
93000,383.906,816.678,0,99,99,495.25,4655
94000,563.344,1139.45,99,99,495,594,6636
95000,291.031,245.253,0,99,99,496,793
96000,340.469,847.291,0,99,99,396,4854
97000,359.094,816.801,0,99,99,421.5,4656
98000,544.812,2005.47,0,99,99,396,11490
99000,448.75,888.162,99,99,198,495,4854
100000,247.625,222.285,0,99,99,421.5,694
