n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,38228.1,4508.07,31100,35975,36400,40175,55700
2000,96334.3,6715.06,86900,91825,95399.5,100975,121000
3000,122791,14474.9,105800,110775,121550,131125,162100
4000,161169,16841.7,141500,147275,155900,176175,201100
5000,218966,21901.5,173100,206275,221800,230525,275500
6000,218478,14583.6,204200,206000,213400,226925,250700
7000,310540,28615.5,248200,304975,317099,325300,368900
8000,298831,25015.5,275600,280475,293600,306124,386200
9000,360328,39916.7,310600,327675,350700,391400,449600
10000,435947,45236.8,341800,423800,452350,466350,501800
11000,444894,58414.2,380099,393800,421300,485775,587000
12000,444144,27567.7,411600,423500,434200,455800,505800
13000,533156,64331.7,450300,471775,526450,596449,652500
14000,531550,45129.6,480600,499174,510900,553750,638000
15000,575469,47711.6,526100,540200,555000,602250,689100
16000,614965,51778.4,559800,572875,602850,638550,760900
17000,681569,69338.4,588399,618025,670950,741950,810899
18000,773890,138143,639500,652675,737000,849375,1.1154e+06
19000,696369,48876.7,652000,669875,677500,702799,821900
20000,788369,77276.1,707499,729175,745450,843125,957400
21000,787153,39625.7,746200,763500,773050,793349,922499
22000,795559,29903.3,757500,773825,781900,808324,870600
23000,852953,50050.3,798000,819275,838500,875700,1.0191e+06
24000,868568,22614.2,837200,850349,857800,889200,914000
25000,929712,54737.3,860199,890050,912350,966899,1.0719e+06
26000,938147,31146.2,894899,915425,931850,953700,1.0422e+06
27000,993468,43601.3,934900,960374,989300,1.01825e+06,1.1008e+06
28000,1.03983e+06,52074.4,973000,1.00697e+06,1.02775e+06,1.05408e+06,1.2188e+06
29000,1.07656e+06,80146.9,1.0043e+06,1.02672e+06,1.0487e+06,1.09485e+06,1.3484e+06
30000,1.09105e+06,58317.4,1.0416e+06,1.05347e+06,1.0726e+06,1.10835e+06,1.3146e+06
31000,1.13235e+06,66536.2,1.081e+06,1.09177e+06,1.1021e+06,1.1373e+06,1.308e+06
32000,1.17425e+06,41155.1,1.1157e+06,1.15378e+06,1.1668e+06,1.18615e+06,1.322e+06
33000,1.24617e+06,98882.9,1.1536e+06,1.1707e+06,1.21225e+06,1.27927e+06,1.5036e+06
