n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,807118,74608.1,723400,748899,785300,848599,986799
2000,1.68596e+06,176544,1.4724e+06,1.53185e+06,1.6848e+06,1.74965e+06,2.2391e+06
3000,2.35372e+06,142876,2.2274e+06,2.26092e+06,2.2997e+06,2.37642e+06,2.881e+06
4000,3.30989e+06,255750,3.0005e+06,3.06685e+06,3.21725e+06,3.53692e+06,3.7817e+06
5000,4.33098e+06,448923,3.7659e+06,3.97935e+06,4.18635e+06,4.65305e+06,5.2467e+06
6000,4.97411e+06,402085,4.5122e+06,4.6533e+06,4.86825e+06,5.19322e+06,5.9508e+06
7000,5.88813e+06,543930,5.253e+06,5.38247e+06,5.7693e+06,6.3033e+06,6.9772e+06
8000,6.86335e+06,677162,6.0176e+06,6.14827e+06,6.8318e+06,7.5652e+06,7.8874e+06
9000,7.61204e+06,897825,6.8692e+06,6.9686e+06,7.07275e+06,8.06914e+06,9.81769e+06
10000,8.52242e+06,953247,7.6271e+06,7.7792e+06,8.0899e+06,9.26167e+06,1.11105e+07
11000,9.60629e+06,1.1483e+06,8.29329e+06,8.43067e+06,9.30884e+06,1.06893e+07,1.14256e+07
12000,1.00673e+07,1.08791e+06,9.08609e+06,9.18012e+06,9.29889e+06,1.11637e+07,1.21926e+07
13000,1.05345e+07,1.23237e+06,9.81549e+06,9.95249e+06,1.00568e+07,1.01749e+07,1.38343e+07
14000,1.16254e+07,1.35172e+06,1.0636e+07,1.0737e+07,1.08974e+07,1.24047e+07,1.4287e+07
15000,1.18806e+07,114200,1.16972e+07,1.18027e+07,1.18589e+07,1.19641e+07,1.21296e+07
16000,1.27733e+07,571503,1.24835e+07,1.25831e+07,1.26299e+07,1.26958e+07,1.54389e+07
17000,1.34819e+07,150658,1.33038e+07,1.34032e+07,1.34549e+07,1.35147e+07,1.41414e+07
18000,1.46118e+07,826180,1.40825e+07,1.41832e+07,1.42601e+07,1.45127e+07,1.70743e+07
19000,1.50354e+07,128078,1.48509e+07,1.49183e+07,1.50067e+07,1.51317e+07,1.52691e+07
