n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,68769.2,14436.1,55100,61775.8,64901,69826,119801
2000,133419,25122.2,114501,121701,124850,135901,248901
3000,189004,20434.2,172501,176251,179852,191876,267101
4000,262061,36384.1,234102,239102,248552,269602,420103
5000,309921,27523.4,284202,290902,299052,322602,388302
6000,358837,24243.1,336102,345552,351202,360828,464203
7000,447750,36226.9,401903,419027,440003,468028,522603
8000,496312,51317.6,452603,467103,477253,506478,673504
9000,551875,41921,513003,526354,533604,564329,672504
10000,645191,89382.9,573504,588354,602054,658979,865005
11000,944634,47859.1,878106,908856,927256,978556,1.07691e+06
12000,1.00601e+06,67158.7,932106,969381,992607,1.01486e+06,1.28381e+06
13000,1.15453e+06,84201.8,1.05931e+06,1.10132e+06,1.12121e+06,1.18102e+06,1.39419e+06
14000,1.32555e+06,181045,1.0947e+06,1.20962e+06,1.27989e+06,1.37469e+06,1.84499e+06
15000,1.28077e+06,95305.8,1.19279e+06,1.21839e+06,1.25554e+06,1.29062e+06,1.58379e+06
16000,1.40113e+06,81043.3,1.29399e+06,1.34822e+06,1.37624e+06,1.42524e+06,1.59879e+06
17000,1.41081e+06,49541.6,1.34349e+06,1.37689e+06,1.40189e+06,1.43044e+06,1.54189e+06
18000,1.53149e+06,82488.4,1.42749e+06,1.48052e+06,1.51449e+06,1.54864e+06,1.76119e+06
19000,1.66801e+06,89840.2,1.46189e+06,1.61844e+06,1.64584e+06,1.71722e+06,1.94399e+06
20000,1.6638e+06,72301.4,1.53299e+06,1.62857e+06,1.64589e+06,1.68639e+06,1.92499e+06
21000,1.78749e+06,82241.3,1.66389e+06,1.71974e+06,1.77774e+06,1.83592e+06,1.99119e+06
22000,1.93556e+06,99413,1.78889e+06,1.84827e+06,1.92464e+06,2.00844e+06,2.13899e+06
23000,1.9634e+06,95176.7,1.80689e+06,1.90902e+06,1.94869e+06,2.01029e+06,2.22289e+06
24000,2.02333e+06,94539.3,1.91049e+06,1.95936e+06,1.98404e+06,2.05856e+06,2.28749e+06
25000,2.20711e+06,126823,2.03219e+06,2.11809e+06,2.17219e+06,2.27849e+06,2.64099e+06
26000,2.17846e+06,96776.5,2.06159e+06,2.10216e+06,2.16614e+06,2.21591e+06,2.46819e+06
27000,2.33157e+06,123166,2.13969e+06,2.25976e+06,2.32429e+06,2.37564e+06,2.70869e+06
28000,2.47999e+06,201404,2.21019e+06,2.33131e+06,2.41804e+06,2.57299e+06,3.02748e+06
29000,2.55922e+06,142166,2.39169e+06,2.46649e+06,2.52694e+06,2.59946e+06,3.01038e+06
30000,2.56174e+06,128498,2.39889e+06,2.47324e+06,2.53599e+06,2.62844e+06,2.97868e+06
31000,2.66823e+06,146833,2.46929e+06,2.54924e+06,2.62909e+06,2.74656e+06,3.02578e+06
32000,2.71598e+06,121909,2.49879e+06,2.63516e+06,2.70699e+06,2.77854e+06,3.07538e+06
33000,2.81322e+06,135284,2.59569e+06,2.71294e+06,2.78824e+06,2.89064e+06,3.07368e+06
34000,2.97811e+06,220169,2.71139e+06,2.80504e+06,2.94924e+06,3.07881e+06,3.65578e+06
35000,3.05317e+06,120110,2.88309e+06,2.97066e+06,3.04898e+06,3.11536e+06,3.47268e+06
36000,3.16834e+06,250185,2.91519e+06,3.00736e+06,3.07953e+06,3.29698e+06,3.89058e+06
37000,3.16879e+06,150280,3.00858e+06,3.06721e+06,3.11923e+06,3.22071e+06,3.52398e+06
38000,3.28741e+06,226567,3.05808e+06,3.12586e+06,3.19133e+06,3.37518e+06,3.93788e+06
39000,3.36819e+06,154649,3.18348e+06,3.23823e+06,3.34818e+06,3.43461e+06,3.84368e+06
40000,3.60815e+06,470913,3.31158e+06,3.38221e+06,3.50858e+06,3.60673e+06,5.96077e+06
41000,3.52047e+06,105419,3.33668e+06,3.43236e+06,3.54943e+06,3.57926e+06,3.79418e+06
42000,3.54135e+06,198005,3.34968e+06,3.41758e+06,3.51758e+06,3.58753e+06,4.42388e+06
43000,3.58219e+06,86333.1,3.47598e+06,3.51896e+06,3.56328e+06,3.62291e+06,3.86378e+06
44000,3.79054e+06,127571,3.57988e+06,3.74426e+06,3.78313e+06,3.83598e+06,4.21958e+06
45000,4.24544e+06,647655,3.67008e+06,3.79578e+06,3.88743e+06,4.6977e+06,5.77017e+06
46000,3.8926e+06,193904,3.70508e+06,3.76053e+06,3.81743e+06,3.92348e+06,4.51678e+06
47000,4.07414e+06,157266,3.82718e+06,3.97385e+06,4.05098e+06,4.15633e+06,4.52678e+06
48000,4.019e+06,129484,3.86358e+06,3.93968e+06,3.98358e+06,4.0758e+06,4.43258e+06
49000,4.23071e+06,115713,4.04168e+06,4.12148e+06,4.24638e+06,4.31883e+06,4.51248e+06
50000,4.19303e+06,128729,4.05148e+06,4.09755e+06,4.17973e+06,4.23863e+06,4.59678e+06
51000,4.30998e+06,161150,4.12408e+06,4.17195e+06,4.26708e+06,4.44263e+06,4.64298e+06
52000,4.49517e+06,116717,4.28518e+06,4.39465e+06,4.48903e+06,4.5817e+06,4.70717e+06
53000,4.46097e+06,156060,4.25388e+06,4.35245e+06,4.40402e+06,4.52942e+06,4.81787e+06
54000,4.65733e+06,151512,4.33038e+06,4.57432e+06,4.66112e+06,4.7783e+06,4.97577e+06
55000,4.79711e+06,386913,4.43948e+06,4.579e+06,4.72072e+06,4.8328e+06,6.03307e+06
56000,4.77159e+06,384474,4.50988e+06,4.583e+06,4.63507e+06,4.76325e+06,6.25326e+06
57000,4.90921e+06,131222,4.73857e+06,4.81395e+06,4.8842e+06,4.98282e+06,5.25987e+06
58000,4.87139e+06,169536,4.67814e+06,4.76356e+06,4.83294e+06,4.89276e+06,5.32214e+06
59000,4.96053e+06,138192,4.76104e+06,4.85444e+06,4.95449e+06,5.01346e+06,5.26734e+06
60000,5.09117e+06,257791,4.85044e+06,4.92284e+06,4.99939e+06,5.13094e+06,5.83744e+06
61000,5.45067e+06,313625,4.94434e+06,5.18196e+06,5.38709e+06,5.71572e+06,6.19554e+06
62000,5.24661e+06,242776,5.03624e+06,5.10549e+06,5.16129e+06,5.25806e+06,6.21964e+06
63000,5.37239e+06,191791,5.08214e+06,5.22884e+06,5.32554e+06,5.48912e+06,5.84634e+06
64000,5.41098e+06,131599,5.16814e+06,5.29681e+06,5.42339e+06,5.48616e+06,5.63274e+06
65000,6.48788e+06,755768,5.32604e+06,5.81719e+06,6.51215e+06,7.2044e+06,7.66285e+06
66000,5.9324e+06,534953,5.30104e+06,5.64841e+06,5.75774e+06,6.16259e+06,7.83326e+06
67000,5.91042e+06,680649,5.42504e+06,5.59794e+06,5.72969e+06,5.90887e+06,9.00566e+06
68000,6.21293e+06,1.71755e+06,5.54754e+06,5.66064e+06,5.74604e+06,6.05207e+06,1.53424e+07
69000,5.98118e+06,1.29496e+06,4.09483e+06,5.69869e+06,5.82754e+06,6.28027e+06,1.07746e+07
70000,6.29614e+06,2.50684e+06,4.20253e+06,5.52549e+06,5.86934e+06,6.23527e+06,1.81225e+07
71000,5.97815e+06,249084,5.75874e+06,5.84984e+06,5.89814e+06,6.00104e+06,6.95905e+06
72000,6.27111e+06,444693,5.82284e+06,6.03799e+06,6.21739e+06,6.36247e+06,8.37516e+06
73000,6.18861e+06,234147,5.90414e+06,6.02489e+06,6.10269e+06,6.31232e+06,6.83605e+06
74000,6.1556e+06,105342,5.98284e+06,6.06299e+06,6.14139e+06,6.21549e+06,6.41424e+06
75000,6.27759e+06,158784,6.08454e+06,6.18177e+06,6.25199e+06,6.33387e+06,6.89675e+06
76000,6.5356e+06,376033,6.19134e+06,6.27644e+06,6.39654e+06,6.60126e+06,7.64946e+06
77000,6.92637e+06,2.10104e+06,6.27027e+06,6.44852e+06,6.49327e+06,6.58737e+06,1.83527e+07
78000,6.70137e+06,235876,6.35217e+06,6.55219e+06,6.65677e+06,6.85352e+06,7.37576e+06
79000,6.78449e+06,190079,6.41447e+06,6.62762e+06,6.81617e+06,6.92489e+06,7.08347e+06
80000,6.88174e+06,300864,6.47227e+06,6.68254e+06,6.84797e+06,6.99264e+06,7.78466e+06
81000,7.11184e+06,405176,6.66757e+06,6.82232e+06,6.98551e+06,7.25251e+06,8.15446e+06
82000,7.0232e+06,166236,6.71847e+06,6.91497e+06,7.00492e+06,7.14604e+06,7.35076e+06
83000,7.54052e+06,1.00875e+06,6.80357e+06,7.06096e+06,7.20241e+06,7.32164e+06,1.09562e+07
84000,7.10082e+06,175368,6.86856e+06,6.98241e+06,7.05931e+06,7.21079e+06,7.57936e+06
85000,7.38427e+06,293139,6.94226e+06,7.19654e+06,7.35201e+06,7.46441e+06,8.22326e+06
86000,7.31933e+06,273681,6.98516e+06,7.15249e+06,7.24191e+06,7.44431e+06,8.13106e+06
87000,7.36761e+06,223878,7.07696e+06,7.20824e+06,7.29836e+06,7.52126e+06,7.92536e+06
88000,7.52414e+06,245306,7.13066e+06,7.30404e+06,7.52231e+06,7.71143e+06,7.96896e+06
89000,7.50622e+06,264810,7.20376e+06,7.36109e+06,7.44401e+06,7.58611e+06,8.45176e+06
90000,7.73608e+06,420226,7.24446e+06,7.44741e+06,7.61401e+06,7.88286e+06,8.92005e+06
91000,7.87219e+06,236570,7.37616e+06,7.72133e+06,7.88821e+06,8.00578e+06,8.35546e+06
92000,7.81335e+06,333420,7.52806e+06,7.65228e+06,7.73606e+06,7.85396e+06,9.32305e+06
93000,8.39872e+06,400608,7.99176e+06,8.12686e+06,8.29025e+06,8.47725e+06,9.78085e+06
94000,1.66615e+07,7.88863e+06,8.07246e+06,8.22316e+06,2.15681e+07,2.34591e+07,2.72855e+07
95000,2.57301e+07,2.4236e+06,2.20822e+07,2.37976e+07,2.58643e+07,2.75379e+07,3.10718e+07
96000,3.41633e+07,9.13157e+07,8.18265e+06,8.38078e+06,2.29991e+07,2.42985e+07,5.32748e+08
97000,1.34245e+07,3.55432e+06,8.25905e+06,1.1881e+07,1.34988e+07,1.52639e+07,2.29211e+07
98000,1.25975e+07,3.72685e+06,9.03636e+06,9.62543e+06,1.07636e+07,1.63821e+07,1.9615e+07
99000,1.27157e+07,2.1029e+06,1.00528e+07,1.15165e+07,1.23625e+07,1.32033e+07,2.11079e+07
100000,2.44327e+07,2.12649e+07,1.04442e+07,1.09173e+07,1.24827e+07,3.59672e+07,9.31954e+07
