n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,157238,16447.5,126000,145050,160400,169450,184600
2000,300925,21078.9,281400,283951,292100,311875,348600
3000,468213,19464.8,446600,452376,463000,475625,517000
4000,648878,32397.8,620900,631401,639750,645026,765800
5000,888375,82328.1,814800,840700,853850,905050,1.1332e+06
6000,1.04758e+06,48975.3,991201,1.01713e+06,1.0274e+06,1.06902e+06,1.1556e+06
7000,1.21898e+06,43205.6,1.1779e+06,1.18765e+06,1.1982e+06,1.23733e+06,1.3334e+06
8000,1.50018e+06,108107,1.3687e+06,1.40945e+06,1.48395e+06,1.55595e+06,1.7391e+06
9000,1.63477e+06,66927.3,1.5657e+06,1.58478e+06,1.61355e+06,1.65488e+06,1.7949e+06
10000,1.84141e+06,63191.1,1.7624e+06,1.80158e+06,1.831e+06,1.85775e+06,2.0766e+06
11000,2.07524e+06,54418.1,1.9769e+06,2.03413e+06,2.08355e+06,2.1102e+06,2.1938e+06
12000,2.32973e+06,232236,2.1736e+06,2.20595e+06,2.2578e+06,2.34585e+06,3.4292e+06
13000,2.48967e+06,80452.6,2.375e+06,2.4236e+06,2.47185e+06,2.54945e+06,2.6594e+06
14000,2.74183e+06,119142,2.596e+06,2.65375e+06,2.71695e+06,2.77975e+06,3.0881e+06
15000,2.93324e+06,92639.7,2.8059e+06,2.86558e+06,2.92505e+06,2.95328e+06,3.2476e+06
16000,3.13791e+06,88265.3,3.0118e+06,3.05968e+06,3.14115e+06,3.18988e+06,3.3721e+06
17000,3.38876e+06,107425,3.2463e+06,3.3225e+06,3.3694e+06,3.43088e+06,3.8388e+06
18000,3.58516e+06,85167,3.4279e+06,3.53175e+06,3.572e+06,3.62253e+06,3.7784e+06
19000,3.83124e+06,90255.6,3.6567e+06,3.767e+06,3.8383e+06,3.89115e+06,4.0216e+06
20000,4.01882e+06,121345,3.8731e+06,3.9553e+06,4.0092e+06,4.04323e+06,4.5079e+06
21000,4.26528e+06,159966,4.1204e+06,4.16678e+06,4.20805e+06,4.2833e+06,4.8176e+06
22000,4.48188e+06,130469,4.3581e+06,4.4034e+06,4.4719e+06,4.50413e+06,5.019e+06
23000,4.72428e+06,184556,4.5565e+06,4.61265e+06,4.6811e+06,4.7361e+06,5.4427e+06
24000,4.92569e+06,138288,4.7511e+06,4.83933e+06,4.8982e+06,4.9775e+06,5.4445e+06
25000,5.19932e+06,194400,5e+06,5.0855e+06,5.15475e+06,5.23103e+06,5.8126e+06
26000,5.38041e+06,191472,5.2238e+06,5.30925e+06,5.34675e+06,5.38895e+06,6.3132e+06
27000,5.59569e+06,110895,5.4187e+06,5.53055e+06,5.576e+06,5.627e+06,5.914e+06
28000,5.8757e+06,220294,5.6849e+06,5.75103e+06,5.80765e+06,5.90088e+06,6.6088e+06
29000,6.03905e+06,84951.9,5.9231e+06,5.98245e+06,6.0348e+06,6.0737e+06,6.3113e+06
30000,6.29872e+06,145760,6.119e+06,6.2222e+06,6.25445e+06,6.31368e+06,6.7499e+06
31000,6.80899e+06,321315,6.4967e+06,6.6042e+06,6.6713e+06,6.95428e+06,8.0031e+06
32000,6.99246e+06,336114,6.702e+06,6.76205e+06,6.8125e+06,7.12133e+06,7.8378e+06
33000,7.1584e+06,219979,6.9117e+06,7.01165e+06,7.13305e+06,7.2045e+06,7.9859e+06
34000,7.47783e+06,362077,7.1009e+06,7.22977e+06,7.3617e+06,7.6189e+06,8.6127e+06
35000,7.55359e+06,210609,7.3537e+06,7.43327e+06,7.52145e+06,7.56287e+06,8.4651e+06
36000,7.81634e+06,168979,7.5582e+06,7.70702e+06,7.78165e+06,7.88115e+06,8.3651e+06
37000,8.14914e+06,658101,7.73171e+06,7.90721e+06,7.93106e+06,8.03481e+06,1.11547e+07
38000,8.38722e+06,600457,8.05561e+06,8.11961e+06,8.17731e+06,8.29506e+06,1.11751e+07
39000,8.63585e+06,490885,8.22271e+06,8.36951e+06,8.45561e+06,8.61546e+06,1.02932e+07
40000,8.72243e+06,234599,8.44451e+06,8.57841e+06,8.67406e+06,8.76316e+06,9.65781e+06
41000,8.94335e+06,283756,8.67311e+06,8.77703e+06,8.84451e+06,9.01076e+06,9.77481e+06
42000,9.16097e+06,187674,8.92141e+06,9.02848e+06,9.10986e+06,9.23131e+06,9.75881e+06
43000,9.4131e+06,133963,9.16451e+06,9.33423e+06,9.38881e+06,9.46521e+06,9.84731e+06
