n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,815884,37979.8,783700,797900,805150,829600,1.0017e+06
2000,1.70558e+06,63026.1,1.6403e+06,1.65915e+06,1.6839e+06,1.73528e+06,1.8905e+06
3000,2.67684e+06,232435,2.5183e+06,2.54763e+06,2.57475e+06,2.69742e+06,3.5447e+06
4000,3.5195e+06,92925.9,3.4074e+06,3.46488e+06,3.50515e+06,3.54105e+06,3.8697e+06
5000,4.47535e+06,85719.6,4.3501e+06,4.4293e+06,4.4642e+06,4.5041e+06,4.7253e+06
6000,5.35806e+06,71565.6,5.2777e+06,5.2999e+06,5.33605e+06,5.4019e+06,5.6006e+06
7000,6.35732e+06,141848,6.1971e+06,6.24288e+06,6.3108e+06,6.44833e+06,6.7535e+06
8000,7.33662e+06,100095,7.1581e+06,7.26073e+06,7.3515e+06,7.40528e+06,7.5365e+06
9000,8.24282e+06,85272.9,8.1058e+06,8.1779e+06,8.21355e+06,8.2994e+06,8.4256e+06
10000,9.21827e+06,96036.4,9.0886e+06,9.14645e+06,9.19315e+06,9.28378e+06,9.4002e+06
11000,1.05488e+07,773572,1.00591e+07,1.01611e+07,1.02782e+07,1.05086e+07,1.32759e+07
12000,1.12605e+07,199147,1.10325e+07,1.11227e+07,1.11879e+07,1.13584e+07,1.2103e+07
13000,1.23106e+07,215167,1.20504e+07,1.21501e+07,1.22806e+07,1.23942e+07,1.2783e+07
14000,1.35716e+07,905609,1.30596e+07,1.31336e+07,1.32024e+07,1.35792e+07,1.69071e+07
15000,1.42596e+07,238586,1.40518e+07,1.41256e+07,1.41707e+07,1.43133e+07,1.51753e+07
16000,1.52768e+07,330957,1.50297e+07,1.51101e+07,1.51391e+07,1.52406e+07,1.64617e+07
17000,1.63403e+07,338475,1.60386e+07,1.61162e+07,1.62539e+07,1.63461e+07,1.73899e+07
18000,1.72942e+07,282549,1.70593e+07,1.71316e+07,1.71899e+07,1.7302e+07,1.83308e+07
19000,1.84752e+07,358330,1.81167e+07,1.8273e+07,1.83685e+07,1.85587e+07,1.9866e+07
20000,1.94615e+07,305754,1.91472e+07,1.92248e+07,1.92927e+07,1.96183e+07,2.02347e+07
21000,2.04892e+07,313954,2.01475e+07,2.02526e+07,2.03636e+07,2.06644e+07,2.13673e+07
