n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,3.33282e+07,1.77084e+07,3.89964e+06,1.87094e+07,3.32965e+07,4.78731e+07,6.26566e+07
2000,1.31952e+08,3.87285e+07,6.7133e+07,1.00267e+08,1.32462e+08,1.64012e+08,1.95099e+08
3000,3.04708e+08,6.17681e+07,2.01927e+08,2.53043e+08,3.05932e+08,3.55996e+08,4.04635e+08
4000,5.58125e+08,8.62834e+07,4.1378e+08,4.84864e+08,5.6192e+08,6.29565e+08,6.96545e+08
5000,8.834e+08,1.07345e+08,7.08457e+08,7.93987e+08,8.81886e+08,9.70686e+08,1.0623e+09
6000,1.2873e+09,1.26064e+08,1.0767e+09,1.18431e+09,1.28735e+09,1.39168e+09,1.49461e+09
7000,1.75775e+09,1.48204e+08,1.5107e+09,1.63591e+09,1.75914e+09,1.88061e+09,2.00122e+09
8000,2.30285e+09,1.71444e+08,2.0204e+09,2.16062e+09,2.3021e+09,2.44493e+09,2.58666e+09
9000,2.94355e+09,1.99881e+08,2.6077e+09,2.78228e+09,2.94744e+09,3.1072e+09,3.27065e+09
10000,3.6524e+09,2.17377e+08,3.29453e+09,3.47387e+09,3.65077e+09,3.83308e+09,4.01136e+09
11000,4.44447e+09,2.44887e+08,4.03752e+09,4.24319e+09,4.4462e+09,4.64511e+09,4.84867e+09
12000,5.31893e+09,2.6589e+08,4.87856e+09,5.10018e+09,5.31793e+09,5.53784e+09,5.75863e+09
13000,6.2796e+09,2.98198e+08,5.78965e+09,6.03178e+09,6.27162e+09,6.53006e+09,6.76889e+09
14000,7.32245e+09,3.1576e+08,6.80261e+09,7.0611e+09,7.3227e+09,7.5817e+09,7.84617e+09
15000,8.47004e+09,3.57269e+08,7.8816e+09,8.17806e+09,8.46571e+09,8.7698e+09,9.05152e+09
16000,9.69276e+09,3.62923e+08,9.09147e+09,9.39499e+09,9.6924e+09,9.99182e+09,1.02913e+10
17000,1.09719e+10,3.8867e+08,1.03324e+10,1.0651e+10,1.09699e+10,1.12899e+10,1.16185e+10
18000,1.23504e+10,4.14902e+08,1.16644e+10,1.20089e+10,1.23504e+10,1.26953e+10,1.30347e+10
19000,1.38164e+10,4.46206e+08,1.30805e+10,1.34441e+10,1.38208e+10,1.41861e+10,1.45503e+10
20000,1.54205e+10,5.01243e+08,1.4601e+10,1.4994e+10,1.54237e+10,1.58399e+10,1.62373e+10
21000,1.71166e+10,4.94988e+08,1.62911e+10,1.67062e+10,1.7126e+10,1.75255e+10,1.79264e+10
22000,1.88392e+10,5.17062e+08,1.79805e+10,1.84159e+10,1.88432e+10,1.92672e+10,1.96872e+10
23000,2.06706e+10,5.51322e+08,1.97438e+10,2.02306e+10,2.06782e+10,2.11256e+10,2.1572e+10
24000,2.26192e+10,5.92368e+08,2.1633e+10,2.21361e+10,2.26166e+10,2.31008e+10,2.36165e+10
25000,2.47281e+10,6.37415e+08,2.36835e+10,2.4207e+10,2.47214e+10,2.5259e+10,2.57776e+10
26000,2.69073e+10,6.33514e+08,2.58455e+10,2.63913e+10,2.69176e+10,2.74297e+10,2.79423e+10
27000,2.91308e+10,6.65741e+08,2.80156e+10,2.8589e+10,2.91312e+10,2.96779e+10,3.02253e+10
28000,3.14872e+10,7.11811e+08,3.0306e+10,3.08788e+10,3.15104e+10,3.20765e+10,3.26538e+10
29000,3.3934e+10,7.33557e+08,3.27284e+10,3.33255e+10,3.39335e+10,3.45361e+10,3.51504e+10
30000,3.64894e+10,7.60415e+08,3.52291e+10,3.58751e+10,3.64974e+10,3.71171e+10,3.77356e+10
31000,3.91121e+10,7.8918e+08,3.78149e+10,3.84593e+10,3.91014e+10,3.97621e+10,4.04333e+10
32000,4.18826e+10,8.25181e+08,4.05175e+10,4.12086e+10,4.18782e+10,4.25675e+10,4.32427e+10
33000,4.47512e+10,8.53769e+08,4.33353e+10,4.40492e+10,4.47523e+10,4.54537e+10,4.61621e+10
34000,4.77115e+10,8.68602e+08,4.62584e+10,4.69932e+10,4.77264e+10,4.84325e+10,4.91285e+10
35000,5.06998e+10,8.92782e+08,4.92261e+10,4.99594e+10,5.07006e+10,5.14487e+10,5.21651e+10
36000,5.3762e+10,9.05885e+08,5.2258e+10,5.30116e+10,5.3772e+10,5.45098e+10,5.52496e+10
37000,5.69124e+10,9.5728e+08,5.53541e+10,5.61231e+10,5.69011e+10,5.76824e+10,5.85168e+10
38000,6.02048e+10,9.62498e+08,5.86204e+10,5.94093e+10,6.02034e+10,6.09928e+10,6.18132e+10
39000,6.36137e+10,1.03209e+09,6.19159e+10,6.276e+10,6.36117e+10,6.44739e+10,6.53048e+10
40000,6.7064e+10,1.00914e+09,6.54063e+10,6.62363e+10,6.70628e+10,6.78835e+10,6.87465e+10
41000,7.06876e+10,1.09439e+09,6.88639e+10,6.97717e+10,7.07083e+10,7.16e+10,7.24555e+10
42000,7.4275e+10,1.04492e+09,7.25632e+10,7.34129e+10,7.42595e+10,7.51368e+10,7.60183e+10
43000,7.79588e+10,1.082e+09,7.61364e+10,7.7064e+10,7.79693e+10,7.88504e+10,7.97329e+10
44000,8.17077e+10,1.13381e+09,7.98493e+10,8.07676e+10,8.16941e+10,8.26482e+10,8.36001e+10
45000,8.57398e+10,1.20008e+09,8.3729e+10,8.47527e+10,8.57273e+10,8.67392e+10,8.7702e+10
46000,8.97383e+10,1.15637e+09,8.78289e+10,8.87885e+10,8.97179e+10,9.06883e+10,9.16486e+10
47000,9.36822e+10,1.16285e+09,9.17712e+10,9.27168e+10,9.368e+10,9.46526e+10,9.55974e+10
48000,9.78148e+10,1.25504e+09,9.57387e+10,9.67721e+10,9.78324e+10,9.8848e+10,9.98746e+10
49000,1.0219e+11,1.33048e+09,1.00017e+11,1.01083e+11,1.02167e+11,1.03299e+11,1.04373e+11
50000,1.06848e+11,1.31011e+09,1.04506e+11,1.05843e+11,1.06868e+11,1.0794e+11,1.08946e+11
51000,1.11218e+11,1.29743e+09,1.09086e+11,1.10153e+11,1.11207e+11,1.12291e+11,1.13382e+11
52000,1.15634e+11,1.26881e+09,1.13521e+11,1.14593e+11,1.15638e+11,1.16686e+11,1.17713e+11
53000,1.19942e+11,1.27281e+09,1.17852e+11,1.18886e+11,1.19934e+11,1.20994e+11,1.22054e+11
54000,1.24349e+11,1.3239e+09,1.22194e+11,1.23259e+11,1.24323e+11,1.2542e+11,1.26572e+11
55000,1.28952e+11,1.35513e+09,1.26719e+11,1.27838e+11,1.28952e+11,1.3003e+11,1.31213e+11
56000,1.33653e+11,1.39567e+09,1.31361e+11,1.32476e+11,1.33666e+11,1.34807e+11,1.35952e+11
57000,1.38431e+11,1.42074e+09,1.36101e+11,1.37249e+11,1.38418e+11,1.39615e+11,1.40774e+11
58000,1.4329e+11,1.4315e+09,1.40926e+11,1.42094e+11,1.43294e+11,1.44486e+11,1.45627e+11
59000,1.48125e+11,1.41454e+09,1.45777e+11,1.46961e+11,1.4813e+11,1.49293e+11,1.5046e+11
60000,1.53038e+11,1.48044e+09,1.50615e+11,1.51801e+11,1.53056e+11,1.54254e+11,1.55489e+11
61000,1.58226e+11,1.57376e+09,1.55648e+11,1.56912e+11,1.58233e+11,1.59516e+11,1.60836e+11
62000,1.63506e+11,1.51079e+09,1.61005e+11,1.62262e+11,1.63493e+11,1.64738e+11,1.66042e+11
63000,1.68802e+11,1.5847e+09,1.66204e+11,1.67486e+11,1.68796e+11,1.70121e+11,1.71428e+11
64000,1.74281e+11,1.60979e+09,1.71597e+11,1.72939e+11,1.74301e+11,1.75611e+11,1.76923e+11
65000,1.79726e+11,1.60055e+09,1.77089e+11,1.78403e+11,1.79729e+11,1.8103e+11,1.82414e+11
66000,1.85564e+11,1.75558e+09,1.82605e+11,1.84144e+11,1.8561e+11,1.87007e+11,1.8845e+11
67000,1.91498e+11,1.74793e+09,1.88627e+11,1.90023e+11,1.91486e+11,1.92971e+11,1.94354e+11
68000,1.97543e+11,1.85525e+09,1.94557e+11,1.95992e+11,1.97425e+11,1.99121e+11,2.00637e+11
69000,2.04004e+11,1.90096e+09,2.00837e+11,2.02428e+11,2.04029e+11,2.05569e+11,2.07133e+11
70000,2.1052e+11,1.83077e+09,2.07353e+11,2.09068e+11,2.10559e+11,2.12044e+11,2.1346e+11
71000,2.1673e+11,1.807e+09,2.13672e+11,2.15312e+11,2.16765e+11,2.18202e+11,2.19677e+11
72000,2.22769e+11,1.75326e+09,2.19867e+11,2.2132e+11,2.22769e+11,2.24215e+11,2.25669e+11
73000,2.28781e+11,1.78734e+09,2.25857e+11,2.27307e+11,2.2876e+11,2.30247e+11,2.31823e+11
74000,2.3507e+11,1.86733e+09,2.32015e+11,2.33531e+11,2.35052e+11,2.36629e+11,2.3819e+11
75000,2.42014e+11,2.16714e+09,2.38389e+11,2.4019e+11,2.42136e+11,2.43824e+11,2.45462e+11
76000,2.49003e+11,2.07786e+09,2.45667e+11,2.47268e+11,2.48881e+11,2.50776e+11,2.52437e+11
