n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,16734.4,3948.89,13700,15075,15700,17200,43700
2000,32428.1,8507.63,27700,28700,30500,31825,75100
3000,47843.8,7375.5,42400,44675,45800,47900,82700
4000,62048.4,9815.44,56300,57875,59550,61800,128700
5000,77401.6,12816.5,70800,72275,73750,75400,144600
6000,91890.6,9801.94,86000,87525,88900,90900,148800
7000,109177,12266.6,100200,102200,103850,108000,156900
8000,131817,34520.8,115200,116800,118300,122550,296700
9000,138986,16524.7,129700,131600,134150,136375,210400
10000,162469,42676.6,144300,147075,150800,159150,464900
11000,173261,35199.2,157500,159275,160600,164925,346200
12000,186548,22615.9,173000,174600,177250,183450,294600
13000,202672,34194.8,187600,189300,191300,198325,391400
14000,217992,39428.2,201600,203275,205150,210800,393200
15000,231353,27700.5,216400,218300,220600,226325,393700
16000,252802,38419.6,232000,233500,236200,249300,397900
17000,264955,28344.4,246300,247575,251150,265225,359700
18000,282078,39562,259500,261100,265100,283275,450300
19000,293819,36698.3,274000,275700,278550,289500,453400
20000,311280,35405.1,289600,291275,295250,320075,456700
21000,326752,44314,304400,305400,308900,323175,532500
22000,346934,41655.2,318100,319575,327350,357200,484400
23000,353467,32897.5,333200,334200,336300,355825,492700
24000,372933,36329.2,346600,349875,352900,393700,512200
25000,400114,50055.7,361900,364750,371550,430450,558700
26000,425484,66852.1,375400,379450,388250,451875,695800
27000,454011,66147.6,390500,395250,448400,477225,657000
28000,459923,50504.2,405700,412750,453750,487175,600100
29000,503367,70787.8,419800,436425,502550,542200,720200
30000,510578,98415.4,433700,437750,467000,536500,809800
31000,522000,65055.9,448500,456850,512600,584350,636300
32000,526095,62593.6,463200,468175,512350,565875,686000
33000,553798,86047.7,478000,483375,527250,597700,835700
34000,554111,61316.7,492000,497775,539000,592775,734400
35000,583219,76720,507100,516250,577200,615575,836400
36000,591538,76427.4,521600,529200,568700,632200,953700
37000,596605,70194.3,534900,539575,546750,645750,802200
38000,618822,79908.4,549000,556200,575200,670525,882500
39000,632409,75561.5,564200,570375,600250,679550,898700
40000,655630,74893.4,578800,586775,646800,699850,885500
41000,676984,77507.2,595500,601825,670000,718750,904900
42000,689864,84468.7,607300,618100,668350,732850,966900
43000,714303,86081.2,621400,631875,694900,765575,952000
44000,723241,91587.4,638300,643250,690100,774475,975300
45000,740758,95017,650600,656950,711550,794250,1.0075e+06
46000,761905,89372.7,665800,675350,771550,827050,1.066e+06
47000,772436,88999.2,679700,688650,757200,838450,1.103e+06
48000,850588,168256,693800,709475,823100,914175,1.523e+06
49000,804477,91095.6,708900,718475,771950,867800,1.0435e+06
50000,833008,106443,724100,735775,822350,884425,1.123e+06
51000,831178,91812.2,739900,746275,804550,895325,1.0559e+06
52000,867375,112257,751100,759750,843050,940350,1.1918e+06
53000,867888,100087,767300,777975,837500,925575,1.1624e+06
54000,870359,92859.4,780900,789775,832900,940500,1.1226e+06
55000,874156,87688.5,796700,804550,818800,956075,1.0917e+06
56000,886530,84332.8,810800,820775,835100,974375,1.1126e+06
57000,919655,92101.4,824600,833075,894500,998400,1.1717e+06
58000,928147,119650,837700,847075,876100,997325,1.4366e+06
59000,939741,101930,853100,861075,879300,1.01932e+06,1.1898e+06
60000,978147,113996,867800,878125,942350,1.05822e+06,1.4172e+06
61000,980117,120988,884000,891675,908000,1.06172e+06,1.4182e+06
62000,979222,105916,895300,903275,912050,1.07082e+06,1.2968e+06
63000,1.01515e+06,124917,912300,920875,935500,1.0927e+06,1.4079e+06
64000,1.04712e+06,123027,925700,934900,1.03775e+06,1.12132e+06,1.396e+06
65000,1.11643e+06,232626,944800,958600,1.06005e+06,1.17865e+06,2.4177e+06
66000,1.12167e+06,70134.9,1.0408e+06,1.07225e+06,1.09835e+06,1.13892e+06,1.3565e+06
67000,1.12328e+06,62269.3,1.0632e+06,1.08068e+06,1.10575e+06,1.13895e+06,1.355e+06
68000,1.16601e+06,87453.6,1.0801e+06,1.11448e+06,1.1335e+06,1.19292e+06,1.5192e+06
69000,1.17179e+06,65020,1.1112e+06,1.12248e+06,1.14195e+06,1.21382e+06,1.386e+06
70000,1.18882e+06,69085.8,1.1141e+06,1.1373e+06,1.15595e+06,1.2263e+06,1.4023e+06
71000,1.20109e+06,66247.1,1.1371e+06,1.15682e+06,1.17935e+06,1.2199e+06,1.4391e+06
72000,1.21923e+06,73644.8,1.1402e+06,1.16372e+06,1.1922e+06,1.25832e+06,1.4683e+06
73000,1.21157e+06,48288.4,1.1331e+06,1.18425e+06,1.19925e+06,1.2165e+06,1.4284e+06
74000,1.22771e+06,33962.3,1.1867e+06,1.20295e+06,1.2207e+06,1.24325e+06,1.3233e+06
75000,1.22992e+06,25522.4,1.1926e+06,1.21295e+06,1.22475e+06,1.24222e+06,1.3364e+06
76000,1.2465e+06,21438.8,1.2128e+06,1.2319e+06,1.2419e+06,1.25628e+06,1.328e+06
77000,1.2714e+06,45826.8,1.2189e+06,1.24225e+06,1.26285e+06,1.28335e+06,1.5077e+06
78000,1.28112e+06,35625.7,1.1824e+06,1.25325e+06,1.28155e+06,1.29915e+06,1.4168e+06
79000,1.36517e+06,133318,1.2549e+06,1.28212e+06,1.30635e+06,1.37475e+06,1.7745e+06
80000,1.32322e+06,49792.4,1.2619e+06,1.29342e+06,1.31925e+06,1.33832e+06,1.6197e+06
81000,1.32683e+06,25228,1.2892e+06,1.3111e+06,1.3204e+06,1.33752e+06,1.4333e+06
82000,1.34812e+06,39042,1.29e+06,1.3211e+06,1.3377e+06,1.3714e+06,1.4809e+06
83000,1.36867e+06,62108.3,1.2511e+06,1.3247e+06,1.35775e+06,1.39432e+06,1.606e+06
84000,1.37441e+06,28587.8,1.3229e+06,1.3516e+06,1.37205e+06,1.3947e+06,1.4358e+06
85000,1.44432e+06,250555,1.3508e+06,1.38008e+06,1.3933e+06,1.4287e+06,3.361e+06
86000,1.40596e+06,33108.7,1.3028e+06,1.3875e+06,1.4019e+06,1.42175e+06,1.5402e+06
87000,1.43481e+06,56346.8,1.3551e+06,1.41035e+06,1.4225e+06,1.44808e+06,1.8023e+06
88000,1.48756e+06,276876,1.3662e+06,1.42692e+06,1.4496e+06,1.472e+06,3.6381e+06
89000,1.47127e+06,73124.4,1.3603e+06,1.43762e+06,1.44955e+06,1.4868e+06,1.9357e+06
90000,1.47384e+06,34261.3,1.4341e+06,1.4582e+06,1.47015e+06,1.48548e+06,1.683e+06
91000,1.49441e+06,34018.5,1.4475e+06,1.47152e+06,1.48445e+06,1.51018e+06,1.6154e+06
92000,1.6189e+06,503014,1.4468e+06,1.49188e+06,1.51115e+06,1.55828e+06,5.4306e+06
93000,1.61533e+06,625027,1.4651e+06,1.49818e+06,1.5228e+06,1.5513e+06,6.4844e+06
94000,1.54765e+06,50480.1,1.4636e+06,1.51342e+06,1.53665e+06,1.5699e+06,1.726e+06
95000,1.56149e+06,33066.7,1.4767e+06,1.5402e+06,1.55655e+06,1.57655e+06,1.6626e+06
96000,1.58545e+06,39718.1,1.5341e+06,1.5553e+06,1.57355e+06,1.60805e+06,1.6875e+06
97000,1.59505e+06,56897.6,1.528e+06,1.56488e+06,1.5808e+06,1.61642e+06,1.9343e+06
98000,1.60661e+06,45751,1.5183e+06,1.5755e+06,1.60335e+06,1.6394e+06,1.8203e+06
99000,1.63821e+06,76921.3,1.5654e+06,1.60112e+06,1.6139e+06,1.6495e+06,2.0516e+06
100000,1.63204e+06,38850.8,1.5836e+06,1.60672e+06,1.61985e+06,1.64552e+06,1.753e+06
