n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,303906,47052.8,264600,277925,285850,307800,480800
2000,671344,56953,601100,639050,653300,698800,883300
3000,1.08132e+06,90742,957400,1.02698e+06,1.0563e+06,1.13142e+06,1.3561e+06
4000,1.44313e+06,107146,1.3129e+06,1.35008e+06,1.42055e+06,1.50452e+06,1.8128e+06
5000,1.84729e+06,125246,1.6996e+06,1.73712e+06,1.8381e+06,1.93152e+06,2.1999e+06
6000,2.30056e+06,139774,2.1045e+06,2.19758e+06,2.2769e+06,2.39605e+06,2.6609e+06
7000,2.8512e+06,265469,2.4913e+06,2.6791e+06,2.8033e+06,2.95708e+06,3.7887e+06
8000,3.20858e+06,239580,2.909e+06,3.0776e+06,3.16165e+06,3.31388e+06,4.5586e+06
9000,3.62818e+06,161987,3.334e+06,3.49668e+06,3.62e+06,3.74908e+06,4.1542e+06
10000,4.06452e+06,168476,3.7508e+06,3.93998e+06,4.0666e+06,4.18735e+06,4.389e+06
11000,4.53312e+06,190959,4.2391e+06,4.38645e+06,4.48865e+06,4.69338e+06,4.9472e+06
12000,4.94015e+06,218499,4.4619e+06,4.7972e+06,4.9239e+06,5.0646e+06,5.6073e+06
13000,5.45468e+06,284688,4.8001e+06,5.24735e+06,5.46835e+06,5.6852e+06,6.3218e+06
14000,5.85878e+06,415999,5.1177e+06,5.56188e+06,5.7826e+06,6.04498e+06,7.5353e+06
15000,6.23836e+06,330522,5.5481e+06,6.0242e+06,6.1944e+06,6.41242e+06,7.6957e+06
16000,6.59503e+06,286618,5.9065e+06,6.43998e+06,6.61875e+06,6.7651e+06,7.3051e+06
17000,7.31581e+06,403107,6.5935e+06,7.08852e+06,7.27605e+06,7.43212e+06,8.9899e+06
18000,7.45598e+06,366960,6.769e+06,7.18662e+06,7.49955e+06,7.67355e+06,8.2626e+06
19000,7.93493e+06,796603,7.2831e+06,7.53598e+06,7.7354e+06,8.00745e+06,1.23038e+07
20000,8.42277e+06,486906,7.6942e+06,8.09002e+06,8.34465e+06,8.7504e+06,9.4622e+06
21000,8.47761e+06,277728,8.0773e+06,8.30175e+06,8.44745e+06,8.6148e+06,9.9464e+06
22000,9.48262e+06,1.21686e+06,8.7275e+06,9.02378e+06,9.1466e+06,9.39895e+06,1.72701e+07
23000,9.84069e+06,721385,9.1677e+06,9.45872e+06,9.5927e+06,9.89102e+06,1.28529e+07
24000,1.00928e+07,950082,9.442e+06,9.62905e+06,9.8412e+06,1.01795e+07,1.59406e+07
25000,1.08213e+07,1.1281e+06,9.9544e+06,1.0231e+07,1.04242e+07,1.08854e+07,1.55426e+07
26000,1.08455e+07,411832,1.03038e+07,1.05504e+07,1.06592e+07,1.1167e+07,1.19848e+07
27000,1.13537e+07,453397,1.06613e+07,1.09766e+07,1.12894e+07,1.17194e+07,1.24721e+07
28000,1.17697e+07,503389,1.11121e+07,1.12989e+07,1.16924e+07,1.20944e+07,1.31422e+07
29000,1.30697e+07,1.14926e+06,1.17324e+07,1.2372e+07,1.29162e+07,1.33624e+07,1.8131e+07
30000,1.30827e+07,552409,1.21964e+07,1.25404e+07,1.29546e+07,1.36702e+07,1.38984e+07
31000,1.31908e+07,522880,1.24361e+07,1.27804e+07,1.303e+07,1.35916e+07,1.4488e+07
32000,1.37186e+07,989265,1.29204e+07,1.31575e+07,1.34105e+07,1.3937e+07,1.8403e+07
33000,1.3764e+07,304002,1.33613e+07,1.35526e+07,1.37502e+07,1.38986e+07,1.54007e+07
34000,1.42079e+07,287425,1.37348e+07,1.39932e+07,1.41586e+07,1.43698e+07,1.50563e+07
35000,1.4841e+07,887458,1.41774e+07,1.44771e+07,1.46286e+07,1.49089e+07,2.08825e+07
36000,1.51541e+07,252804,1.47298e+07,1.4953e+07,1.5127e+07,1.52878e+07,1.60408e+07
37000,1.63696e+07,893398,1.52826e+07,1.56622e+07,1.61029e+07,1.69671e+07,1.94723e+07
38000,1.70598e+07,661096,1.56086e+07,1.6683e+07,1.71559e+07,1.75885e+07,1.79852e+07
39000,1.76976e+07,995412,1.61991e+07,1.73174e+07,1.76312e+07,1.79623e+07,2.21312e+07
40000,1.80908e+07,640409,1.66365e+07,1.76747e+07,1.82966e+07,1.85449e+07,1.89936e+07
41000,1.83388e+07,839630,1.7107e+07,1.7651e+07,1.82784e+07,1.87699e+07,2.14501e+07
42000,1.86457e+07,1.08039e+06,1.78737e+07,1.82025e+07,1.83886e+07,1.86225e+07,2.5222e+07
43000,1.89143e+07,396695,1.84554e+07,1.86996e+07,1.88119e+07,1.89913e+07,2.06847e+07
44000,1.95126e+07,1.04003e+06,1.87983e+07,1.90718e+07,1.92138e+07,1.94824e+07,2.62831e+07
45000,2.01191e+07,769679,1.91894e+07,1.96104e+07,1.9838e+07,2.04704e+07,2.30061e+07
46000,2.11083e+07,1.25186e+06,1.96654e+07,2.0046e+07,2.09298e+07,2.18274e+07,2.71869e+07
47000,2.14001e+07,965289,2.00633e+07,2.05301e+07,2.12122e+07,2.21633e+07,2.46018e+07
48000,2.2297e+07,1.1753e+06,2.05317e+07,2.12881e+07,2.24647e+07,2.28525e+07,2.63894e+07
49000,2.17297e+07,1.02194e+06,2.1048e+07,2.12494e+07,2.15169e+07,2.17079e+07,2.84751e+07
50000,2.21503e+07,416292,2.15879e+07,2.18966e+07,2.20783e+07,2.22536e+07,2.41197e+07
51000,2.26232e+07,944778,2.18472e+07,2.2236e+07,2.23419e+07,2.26601e+07,2.80186e+07
52000,2.39345e+07,826210,2.26825e+07,2.32328e+07,2.36597e+07,2.48066e+07,2.53922e+07
53000,2.48345e+07,1.10395e+06,2.28312e+07,2.40655e+07,2.48816e+07,2.53122e+07,2.93352e+07
54000,2.54133e+07,947938,2.35008e+07,2.47665e+07,2.54237e+07,2.5945e+07,2.76791e+07
55000,2.49909e+07,1.17194e+06,2.37253e+07,2.4245e+07,2.44824e+07,2.53062e+07,2.95972e+07
56000,2.51616e+07,1.48147e+06,2.41085e+07,2.47013e+07,2.48644e+07,2.50874e+07,3.57198e+07
57000,2.54516e+07,524154,2.45763e+07,2.51091e+07,2.53881e+07,2.55806e+07,2.69969e+07
58000,2.69976e+07,1.26049e+06,2.54339e+07,2.59358e+07,2.68398e+07,2.79444e+07,3.11273e+07
59000,2.68657e+07,1.04016e+06,2.54616e+07,2.59593e+07,2.66356e+07,2.77286e+07,2.9697e+07
60000,2.72408e+07,1.42492e+06,2.5928e+07,2.6267e+07,2.66426e+07,2.79637e+07,3.37376e+07
61000,2.71938e+07,511136,2.65209e+07,2.68762e+07,2.7058e+07,2.73379e+07,2.90647e+07
62000,2.77329e+07,948052,2.67809e+07,2.73014e+07,2.75437e+07,2.78025e+07,3.36824e+07
63000,2.89384e+07,1.41855e+06,2.74511e+07,2.82147e+07,2.84914e+07,2.90493e+07,3.66294e+07
64000,3.05247e+07,1.27756e+06,2.84392e+07,2.92314e+07,3.07856e+07,3.16267e+07,3.27402e+07
65000,3.07618e+07,1.50267e+06,2.91007e+07,2.96569e+07,3.06942e+07,3.13642e+07,3.96646e+07
66000,3.05966e+07,1.0238e+06,2.94643e+07,3.00717e+07,3.02964e+07,3.07865e+07,3.63382e+07
67000,3.08529e+07,550024,2.97977e+07,3.05198e+07,3.07594e+07,3.09838e+07,3.27734e+07
68000,3.18852e+07,1.44951e+06,3.04111e+07,3.11218e+07,3.13849e+07,3.2169e+07,3.94778e+07
69000,3.26786e+07,1.32954e+06,3.11228e+07,3.16254e+07,3.20544e+07,3.35137e+07,3.72629e+07
70000,3.29616e+07,1.07692e+06,3.1407e+07,3.21122e+07,3.26208e+07,3.36344e+07,3.61377e+07
71000,3.30784e+07,986979,3.18982e+07,3.25922e+07,3.2946e+07,3.31626e+07,3.80131e+07
72000,3.3611e+07,1.0324e+06,3.24419e+07,3.30819e+07,3.33536e+07,3.37158e+07,3.90331e+07
73000,3.48119e+07,1.10927e+06,3.31604e+07,3.37664e+07,3.4465e+07,3.58615e+07,3.68454e+07
74000,3.58682e+07,1.70483e+06,3.36319e+07,3.4648e+07,3.57222e+07,3.68178e+07,4.55602e+07
75000,3.5415e+07,1.47385e+06,3.38643e+07,3.46159e+07,3.49812e+07,3.54856e+07,4.34246e+07
76000,3.55372e+07,871485,3.45839e+07,3.50332e+07,3.53236e+07,3.57814e+07,3.90341e+07
77000,3.63098e+07,1.59579e+06,3.49235e+07,3.54615e+07,3.59389e+07,3.64532e+07,4.56198e+07
78000,3.71861e+07,2.23784e+06,3.5247e+07,3.60003e+07,3.64042e+07,3.76852e+07,5.14107e+07
79000,3.6996e+07,1.01751e+06,3.57342e+07,3.64563e+07,3.66818e+07,3.70993e+07,4.10686e+07
80000,3.73931e+07,1.0447e+06,3.65395e+07,3.689e+07,3.71578e+07,3.75906e+07,4.41418e+07
81000,3.9114e+07,2.02977e+06,3.70271e+07,3.78412e+07,3.84536e+07,4.01565e+07,5.0473e+07
82000,3.98626e+07,1.90983e+06,3.75216e+07,3.84536e+07,3.947e+07,4.11274e+07,4.8925e+07
83000,3.92479e+07,1.10955e+06,3.80526e+07,3.85132e+07,3.88852e+07,3.93961e+07,4.2295e+07
84000,3.98564e+07,1.35864e+06,3.87775e+07,3.921e+07,3.95312e+07,3.99732e+07,4.88613e+07
85000,4.07314e+07,1.62011e+06,3.90729e+07,3.9809e+07,4.01701e+07,4.1185e+07,4.93616e+07
86000,4.14696e+07,1.55609e+06,3.98228e+07,4.04378e+07,4.08266e+07,4.19755e+07,4.80396e+07
87000,4.08519e+07,589115,3.98624e+07,4.04562e+07,4.07146e+07,4.10621e+07,4.22008e+07
88000,4.21634e+07,1.60077e+06,4.02765e+07,4.12708e+07,4.1554e+07,4.27624e+07,5.04659e+07
89000,4.39723e+07,1.61778e+06,4.15646e+07,4.29016e+07,4.39928e+07,4.49642e+07,5.00758e+07
90000,4.32602e+07,1.26058e+06,4.17934e+07,4.24038e+07,4.27524e+07,4.36829e+07,4.64308e+07
91000,4.35791e+07,1.12783e+06,4.20853e+07,4.29279e+07,4.33108e+07,4.38903e+07,4.94641e+07
92000,4.47012e+07,1.63085e+06,4.27592e+07,4.36454e+07,4.42529e+07,4.55102e+07,5.21018e+07
93000,4.48489e+07,1.48104e+06,4.29928e+07,4.38244e+07,4.42996e+07,4.5464e+07,5.12764e+07
94000,4.45914e+07,1.16324e+06,4.35013e+07,4.40266e+07,4.43614e+07,4.47842e+07,5.19204e+07
95000,4.6675e+07,1.8772e+06,4.40755e+07,4.52562e+07,4.58286e+07,4.85182e+07,5.13301e+07
