n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,494020,31593.6,474700,478500,482650,491350,614100
2000,563602,48144.2,533600,537800,545300,564600,791800
3000,590112,43235.8,560400,566375,571550,588025,731100
4000,629822,52996.9,586600,592850,605300,651525,813900
5000,644888,46343.9,606600,613600,622500,657300,808200
6000,658667,48785.8,625600,629625,637000,654750,832700
7000,683652,60240.3,634200,641500,650150,713300,855700
8000,694081,56557.4,641200,652525,672850,713275,870300
9000,687917,46201.8,645200,654350,667250,715825,833400
10000,701344,53646.8,663200,669625,680350,707100,958100
11000,714009,49783.1,666100,676375,692350,735150,859100
12000,720898,56353.9,675600,683475,691450,739550,903000
13000,756305,95350.5,680100,693850,710400,784050,1.1016e+06
14000,723823,42357.4,691400,697000,701700,736350,862600
15000,748211,67030.6,695100,702800,724000,760975,1.019e+06
16000,743192,62764.2,691700,700900,711800,773300,938100
17000,739042,41721.5,707300,711500,719800,755250,876300
18000,765586,59417.3,708200,716725,747100,821550,908400
19000,767598,67178.6,717700,724900,733500,783775,1.0104e+06
20000,757041,47591.7,713600,720600,739350,779775,969500
21000,779369,58818,727500,735775,749900,803250,953300
22000,779489,62684.1,729200,738700,747200,797750,1.0002e+06
23000,781806,52466.5,733700,741875,756300,814450,966400
24000,778688,65685.9,728700,739050,747550,791325,1.0405e+06
25000,785362,70913.5,730000,739900,752800,805400,1.0177e+06
26000,801867,77558.9,744700,752025,767350,831150,1.1786e+06
27000,803111,67153.1,747300,755400,772250,846475,1.0361e+06
28000,830252,84805.7,756000,763700,807700,874175,1.1199e+06
29000,808797,68222,753600,761275,773400,827300,1.0678e+06
30000,869980,114237,763400,777475,828250,929625,1.2018e+06
31000,808627,57512.7,753000,763175,779900,840275,962100
32000,822836,63347.5,769800,778500,787650,855150,1.0503e+06
33000,822330,58179.5,771700,779000,789650,861100,993900
34000,837805,71163.3,772600,782100,807250,879625,1.0838e+06
35000,817181,50633.6,759600,774025,795900,858900,942900
36000,829345,67716.1,770800,778700,794700,884825,1.0487e+06
37000,829500,70480.6,767200,778050,798650,874375,1.0765e+06
38000,840195,63849,782400,793650,811250,867100,1.0416e+06
39000,832369,55358.2,781000,792050,812700,854900,977400
40000,858077,76029.7,787500,799025,822100,903525,1.1025e+06
41000,861303,71945.5,796600,806075,833600,891025,1.1664e+06
42000,845808,59393.4,796900,804900,825200,867125,1.1502e+06
43000,839550,62049.5,785900,795325,810900,863050,1.0203e+06
44000,857431,67493.3,798500,808175,825400,903825,1.0716e+06
45000,868033,67954.6,799400,809850,848450,916400,1.0631e+06
46000,859455,63751.4,800900,811675,832400,901700,1.097e+06
47000,925781,161073,804200,817950,860250,953725,1.6145e+06
48000,875675,75499.8,800900,811450,848100,924425,1.1324e+06
49000,869561,72217.3,801200,814050,835400,915850,1.0992e+06
50000,875208,71441.3,814700,821475,840900,926650,1.1694e+06
51000,898519,75465.2,823000,833875,881350,941650,1.1995e+06
52000,876148,80160.6,805100,815875,830100,923575,1.1115e+06
53000,894920,65978.5,819500,834175,882450,938325,1.1011e+06
54000,885795,75847.6,818900,829475,855700,923175,1.1217e+06
55000,885808,78946.5,817100,829200,843850,928775,1.1685e+06
56000,880617,68501.7,813200,824700,858150,926875,1.1127e+06
57000,888402,71586.9,818300,826225,864150,931450,1.0412e+06
58000,900552,74249.3,824500,836200,883950,945325,1.1117e+06
59000,903567,101635,821800,829775,850450,971350,1.2887e+06
60000,917609,95331.7,830700,846200,881700,962900,1.3007e+06
61000,896045,85721,824100,833000,847900,945525,1.175e+06
62000,880825,60762.5,825400,835075,854800,910675,1.0709e+06
63000,886905,52400.5,831100,845000,871550,909000,1.0504e+06
64000,974230,203283,838300,853800,882100,961200,1.6734e+06
65000,880675,68389.9,827700,840900,849800,886875,1.1287e+06
66000,895583,58488,842300,851950,869500,926750,1.0453e+06
67000,898725,61836.9,843100,859225,878650,909075,1.1091e+06
68000,905769,70576.7,838900,852950,873050,925875,1.1234e+06
69000,891483,57110.7,838900,849850,868700,907400,1.0769e+06
70000,893850,49352.9,845500,856625,880100,905450,1.0575e+06
