n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,241705,34902.4,219800,223675,231000,237625,382700
2000,240433,40815.7,213000,216825,224800,242525,398600
3000,254486,49773.1,214000,222800,236800,259200,423900
4000,249758,57729.5,215700,221500,226150,256225,551500
5000,274781,63487.5,218500,229300,268250,290100,552200
6000,246442,37600.9,221800,227175,230850,252350,450200
7000,247447,39810.7,217200,223550,230000,249825,389500
8000,258811,50357.8,220900,226650,233300,275575,467300
9000,265744,62210.1,218900,224750,238900,297200,577100
10000,318847,138722,219200,225000,254100,360300,949800
11000,265439,57572.8,222700,228050,235300,283075,484600
12000,277236,69655.5,223100,228575,243250,299425,482500
13000,266570,46830.8,231000,236100,242100,292525,418100
14000,266186,57727.4,222800,227950,237700,281075,483700
15000,262531,57664.4,225500,230550,236700,262300,522500
16000,258578,58702.8,223100,226875,230050,268925,517100
17000,276448,63267.5,227200,230700,236500,302450,421600
18000,270614,62944.7,229300,234675,243250,274400,556800
19000,264466,57488.9,223600,227600,232600,281725,470600
20000,284552,63122.9,234800,238975,243450,316925,441400
21000,273770,66014.4,225600,229275,241600,284475,470800
22000,290488,69900.1,230900,236150,245050,341050,473500
23000,281709,63798.5,234000,237300,245550,311350,472000
24000,284833,70051.8,227900,231075,240300,329700,480900
25000,282545,64500.9,234700,237875,248500,309025,439800
26000,295466,74147.3,237200,243425,258000,318075,492900
27000,270656,51722,232600,236900,244950,292900,454900
28000,262164,53018.1,230200,233275,240200,258775,453700
29000,280602,71095.7,229200,232425,239450,321875,465200
30000,279378,63209.6,230700,234175,245300,299475,497300
31000,387734,181982,232900,248400,309900,456325,1.1103e+06
32000,299850,72373.5,238800,243600,258400,346075,486600
33000,273672,64230.3,232900,235850,241550,288950,485400
34000,284356,68480.6,236500,239900,246950,315375,491200
35000,283364,76286.2,231400,234725,240350,296025,485800
36000,282484,78346.8,230700,233475,237000,311750,636500
37000,285398,64042.5,238700,242325,250200,311800,508600
38000,295122,83858.7,235900,238375,248000,325325,527200
39000,284939,75656.6,230800,232975,240450,326550,470600
40000,278398,55643.2,236800,239250,250300,304100,469200
41000,277128,68408.2,236300,237775,241550,296325,510800
42000,300083,83381.4,231600,237200,254000,358700,553600
43000,300120,80232.3,241200,243575,253300,341600,518600
44000,291012,83027.2,234400,240650,248000,303975,570400
45000,297305,79612,240400,243200,252450,329575,570400
46000,280677,69122.7,236500,238175,243150,290850,528100
47000,289227,75511.7,239600,244950,248950,294325,524700
48000,296950,73375.8,236200,239250,253450,328975,486900
49000,302733,77464.4,244900,248725,258400,330250,527500
50000,288117,77887.7,238500,241750,247800,298500,520000
51000,327058,127191,234200,238675,258350,392650,884300
52000,292842,77266.3,235700,237450,252200,335325,497200
53000,280192,60310.9,235400,238175,248750,305900,497800
54000,301127,94213.5,235200,238250,244900,340775,533200
55000,301120,88401.5,239300,242375,254200,320300,576400
56000,291912,80525.3,236000,239725,244100,316375,539300
57000,301639,88048.5,238800,241700,250600,355325,558500
58000,287856,79261.2,238100,240525,246050,293375,539000
59000,299491,90978.6,237800,240750,252800,307175,518800
60000,304933,92606.6,235500,238850,252050,320075,543400
61000,286388,73737.3,239900,242625,246750,286525,526800
62000,279852,73496,235600,237625,242200,278625,492800
63000,289259,74252.3,240300,243650,251050,303575,601100
64000,298273,87712,236700,239150,252300,326500,639500
65000,307175,81816.8,242700,246125,253300,364250,507200
66000,306073,88512.8,238400,241700,263100,360725,604400
67000,292438,76674.1,235300,238400,249000,314000,508100
68000,297780,86378.3,235100,238075,246800,344950,572500
69000,384786,188489,238200,246700,287900,492425,957000
70000,293725,87472.7,237000,240525,250700,301400,555200
71000,310006,87401.1,244100,246075,260100,356900,589500
72000,307962,86021.6,238900,241475,259950,361425,566200
73000,294680,85426.5,239400,242400,247200,307700,536900
74000,305239,100822,236300,240825,248850,357725,709300
75000,295320,76449,245400,250025,254400,308325,533900
76000,307462,91782.6,244200,247225,254750,331275,554700
77000,297827,82494.3,245100,249125,259700,302375,547000
78000,328475,98354.5,240900,246300,289650,371725,553000
79000,293472,78626,239200,242000,247450,320950,538200
80000,302875,96602.1,237200,239900,248800,313100,559200
81000,292753,77197.1,238400,242225,257400,294700,529700
82000,286200,62399.3,245200,250700,258700,287800,565200
83000,302389,82539.7,242700,246075,261150,324800,512800
84000,311455,98977,244400,247650,257500,344900,667500
85000,299856,82433.7,246800,248325,255150,328125,553300
86000,288497,73063,240300,244025,259350,297975,543000
87000,305181,91618,246400,251775,259650,310575,676500
88000,284270,65791.9,240800,243575,251750,292925,527400
89000,296977,86516.8,241600,243975,248900,312625,555300
90000,293770,84030.7,241100,244025,248650,303375,535900
91000,305216,77694,247600,251375,265250,332150,520500
92000,306631,91201.9,246000,249025,257050,324750,556200
93000,307872,87765.9,242700,248025,270500,349625,644200
94000,290381,77927.3,242900,246975,252650,284825,558400
95000,293577,77396.3,243600,246050,256550,297750,557400
96000,294403,81715,242200,244425,251650,304325,540400
97000,317592,98441.6,244300,248425,261600,375800,600600
98000,305889,85210.6,249300,252775,258100,338900,547400
99000,295914,74578.9,244500,248300,257050,315275,530900
100000,294914,79390.1,245000,247250,253750,303400,569100
